english,translate
Recipe[s]: Laranthir's Grips,Рецепт[|а|ов]: перчатки Ларантира
Recipe[s]: Laranthir's Guise,Рецепт[|а|ов]: личина Ларантира
Recipe[s]: Laranthir's Harpoon Gun,Рецепт[|а|ов]: гарпунное ружьё Ларантира
Recipe[s]: Laranthir's Herald,Рецепт[|а|ов]: глашатай Ларантира
Recipe[s]: Laranthir's Impaler,Рецепт[|а|ов]: пронзатель Ларантира
Recipe[s]: Laranthir's Leggings,Рецепт[|а|ов]: поножи Ларантира
Recipe[s]: Laranthir's Masque,Рецепт[|а|ов]: маска Ларантира
Recipe[s]: Laranthir's Musket,Рецепт[|а|ов]: мушкет Ларантира
Recipe[s]: Laranthir's Visor,Рецепт[|а|ов]: забрало Ларантира
Recipe[s]: Laranthir's Wand,Рецепт[|а|ов]: жезл Ларантира
Recipe[s]: Machined Weapon Core,Рецепт[|а|ов]: машинное ядро оружия
Recipe[s]: Maklain's Blade,Рецепт[|а|ов]: клинок Маклейна
Recipe[s]: Maklain's Greatbow,Рецепт[|а|ов]: великий лук Маклейна
Recipe[s]: Maklain's Greaves,Рецепт[|а|ов]: наголенники Маклейна
Recipe[s]: Maklain's Grips,Рецепт[|а|ов]: перчатки Маклейна
Recipe[s]: Maklain's Guise,Рецепт[|а|ов]: личина Маклейна
Recipe[s]: Maklain's Herald,Рецепт[|а|ов]: глашатай Маклейна
Recipe[s]: Maklain's Impaler,Рецепт[|а|ов]: пронзатель Маклейна
Recipe[s]: Maklain's Masque,Рецепт[|а|ов]: маска Маклейна
Recipe[s]: Maklain's Musket,Рецепт[|а|ов]: мушкет Маклейна
Recipe[s]: Maklain's Razor,Рецепт[|а|ов]: бритва Маклейна
Recipe[s]: Maklain's Reaver,Рецепт[|а|ов]: секира Маклейна
Recipe[s]: Maklain's Spire,Рецепт[|а|ов]: шпиль Маклейна
Recipe[s]: Maklain's Tassets,Рецепт[|а|ов]: набедренники Маклейна
Recipe[s]: Maklain's Visage,Рецепт[|а|ов]: лик Маклейна
Recipe[s]: Maklain's Visor,Рецепт[|а|ов]: забрало Маклейна
Recipe[s]: Maklain's Wand,Рецепт[|а|ов]: жезл Маклейна
Recipe[s]: Nomad's Draconic Legs,Рецепт[|а|ов]: драконьи поножи кочевника
Recipe[s]: Nomad's Pearl Brazier,Рецепт[|а|ов]: жемчужная жаровня кочевника
Recipe[s]: Nomad's Pearl Carver,Рецепт[|а|ов]: жемчужный резак кочевника
Recipe[s]: Nomad's Pearl Conch,Рецепт[|а|ов]: жемчужная раковина кочевника
Recipe[s]: Nomad's Pearl Crusher,Рецепт[|а|ов]: жемчужный крушитель кочевника
Recipe[s]: Nomad's Pearl Impaler,Рецепт[|а|ов]: жемчужный пронзатель кочевника
Recipe[s]: Nomad's Pearl Needler,Рецепт[|а|ов]: жемчужный игольник кочевника
Recipe[s]: Nomad's Pearl Sabre,Рецепт[|а|ов]: жемчужная сабля кочевника
Recipe[s]: Nomad's Pearl Siren,Рецепт[|а|ов]: жемчужная сирена кочевника
Recipe[s]: Nomad's Pearl Speargun,Рецепт[|а|ов]: жемчужное гарпунное ружьё кочевника
Recipe[s]: Nomad's Pearl Stinger,Рецепт[|а|ов]: жемчужное жало кочевника
Recipe[s]: Pahua's Artifact,Рецепт[|а|ов]: артефакт Пагуи
Recipe[s]: Pahua's Bastion,Рецепт[|а|ов]: бастион Пагуи
Recipe[s]: Pahua's Blade,Рецепт[|а|ов]: клинок Пагуи
Recipe[s]: Pahua's Brazier,Рецепт[|а|ов]: жаровня Пагуи
Recipe[s]: Pahua's Breeches,Рецепт[|а|ов]: штаны Пагуи
Recipe[s]: Pahua's Claymore,Рецепт[|а|ов]: клеймор Пагуи
Recipe[s]: Pahua's Doublet,Рецепт[|а|ов]: дублет Пагуи
Recipe[s]: Pahua's Epaulets,Рецепт[|а|ов]: эполеты Пагуи
Recipe[s]: Pahua's Footwear,Рецепт[|а|ов]: обувь Пагуи
Recipe[s]: Pahua's Greatbow,Рецепт[|а|ов]: великий лук Пагуи
Recipe[s]: Pahua's Greaves,Рецепт[|а|ов]: наголенники Пагуи
Recipe[s]: Pahua's Grips,Рецепт[|а|ов]: перчатки Пагуи
Recipe[s]: Pahua's Guise,Рецепт[|а|ов]: личина Пагуи
Recipe[s]: Pahua's Herald,Рецепт[|а|ов]: глашатай Пагуи
Recipe[s]: Pahua's Impaler,Рецепт[|а|ов]: пронзатель Пагуи
Recipe[s]: Pahua's Leggings,Рецепт[|а|ов]: поножи Пагуи
Recipe[s]: Pahua's Masque,Рецепт[|а|ов]: маска Пагуи
Recipe[s]: Pahua's Musket,Рецепт[|а|ов]: мушкет Пагуи
Recipe[s]: Pahua's Razor,Рецепт[|а|ов]: бритва Пагуи
Recipe[s]: Pahua's Reaver,Рецепт[|а|ов]: секира Пагуи
Recipe[s]: Pahua's Revolver,Рецепт[|а|ов]: револьвер Пагуи
Recipe[s]: Pahua's Short Bow,Рецепт[|а|ов]: короткий лук Пагуи
Recipe[s]: Pahua's Spire,Рецепт[|а|ов]: шпиль Пагуи
Recipe[s]: Pahua's Striders,Рецепт[|а|ов]: поступи Пагуи
Recipe[s]: Pahua's Tassets,Рецепт[|а|ов]: набедренники Пагуи
Recipe[s]: Pahua's Trident,Рецепт[|а|ов]: трезубец Пагуи
Recipe[s]: Pahua's Visage,Рецепт[|а|ов]: лик Пагуи
Recipe[s]: Pahua's Visor,Рецепт[|а|ов]: забрало Пагуи
Recipe[s]: Pahua's Wand,Рецепт[|а|ов]: жезл Пагуи
Recipe[s]: Pahua's Warfists,Рецепт[|а|ов]: боевые рукавицы Пагуи
Recipe[s]: Pot of Chili and Avocado,Рецепт[|а|ов]: котёл чили с авокадо
Recipe[s]: Pot of Clam Chowder,Рецепт[|а|ов]: котёл похлёбки из моллюсков
Recipe[s]: Pot of Fire Meat Chili,Рецепт[|а|ов]: котёл огненного мясного чили
Recipe[s]: Pot of Fire Veggie Chili,Рецепт[|а|ов]: котёл огненного овощного чили
Recipe[s]: Pot of Hearty Red Meat Stew,Рецепт[|а|ов]: котёл наваристого рагу из красного мяса
Recipe[s]: Pot of Kale Soup,Рецепт[|а|ов]: котёл супа из капусты кейл
Recipe[s]: Pot of Spiced Meat Chili,Рецепт[|а|ов]: котёл пряного мясного чили
Recipe[s]: Pot of Spiced Veggie Chili,Рецепт[|а|ов]: котёл пряного овощного чили
Recipe[s]: Pot of Spicy Meat Chili,Рецепт[|а|ов]: котёл острого мясного чили
Recipe[s]: Pot of Spicy Veggie Chili,Рецепт[|а|ов]: котёл острого овощного чили
Recipe[s]: Pot of Yam Soup,Рецепт[|а|ов]: котёл супа из ямса
Recipe[s]: Pot of Zucchini Chili,Рецепт[|а|ов]: котёл чили из цукини
Recipe[s]: Relic of Antitoxin,Рецепт[|а|ов]: реликвия антитоксина
Recipe[s]: Relic of Dwayna,Рецепт[|а|ов]: реликвия Двейны
Recipe[s]: Relic of Resistance,Рецепт[|а|ов]: реликвия сопротивляемости
Recipe[s]: Relic of the Afflicted,Рецепт[|а|ов]: реликвия поражённых
Recipe[s]: Relic of the Brawler,Рецепт[|а|ов]: реликвия драчуна
Recipe[s]: Relic of the Citadel,Рецепт[|а|ов]: реликвия цитадели
Recipe[s]: Relic of the Daredevil,Рецепт[|а|ов]: реликвия лихача
Recipe[s]: Relic of the Flock,Рецепт[|а|ов]: реликвия стаи
Recipe[s]: Relic of the Herald,Рецепт[|а|ов]: реликвия глашатая
Recipe[s]: Relic of the Krait,Рецепт[|а|ов]: реликвия крайта
Recipe[s]: Relic of the Scourge,Рецепт[|а|ов]: реликвия скверны
Recipe[s]: Relic of the Water,Рецепт[|а|ов]: реликвия воды
Recipe[s]: Ruka's Artifact,Рецепт[|а|ов]: артефакт Руки
Recipe[s]: Ruka's Bastion,Рецепт[|а|ов]: бастион Руки
Recipe[s]: Ruka's Blade,Рецепт[|а|ов]: клинок Руки
Recipe[s]: Ruka's Brazier,Рецепт[|а|ов]: жаровня Руки
Recipe[s]: Ruka's Breeches,Рецепт[|а|ов]: штаны Руки
Recipe[s]: Ruka's Claymore,Рецепт[|а|ов]: клеймор Руки
Recipe[s]: Ruka's Doublet,Рецепт[|а|ов]: дублет Руки
Recipe[s]: Ruka's Epaulets,Рецепт[|а|ов]: эполеты Руки
Recipe[s]: Ruka's Footwear,Рецепт[|а|ов]: обувь Руки
Recipe[s]: Ruka's Greatbow,Рецепт[|а|ов]: великий лук Руки
Recipe[s]: Ruka's Greaves,Рецепт[|а|ов]: наголенники Руки
Recipe[s]: Ruka's Grips,Рецепт[|а|ов]: перчатки Руки
Recipe[s]: Ruka's Guise,Рецепт[|а|ов]: личина Руки
Recipe[s]: Ruka's Herald,Рецепт[|а|ов]: глашатай Руки
Recipe[s]: Ruka's Impaler,Рецепт[|а|ов]: пронзатель Руки
Recipe[s]: Ruka's Leggings,Рецепт[|а|ов]: поножи Руки
Recipe[s]: Ruka's Masque,Рецепт[|а|ов]: маска Руки
Recipe[s]: Ruka's Musket,Рецепт[|а|ов]: мушкет Руки
Recipe[s]: Ruka's Pauldrons,Рецепт[|а|ов]: наплечники Руки
Recipe[s]: Ruka's Razor,Рецепт[|а|ов]: бритва Руки
Recipe[s]: Ruka's Reaver,Рецепт[|а|ов]: секира Руки
Recipe[s]: Ruka's Revolver,Рецепт[|а|ов]: револьвер Руки
Recipe[s]: Ruka's Short Bow,Рецепт[|а|ов]: короткий лук Руки
Recipe[s]: Ruka's Spire,Рецепт[|а|ов]: шпиль Руки
Recipe[s]: Ruka's Striders,Рецепт[|а|ов]: поступи Руки
Recipe[s]: Ruka's Tassets,Рецепт[|а|ов]: набедренники Руки
Recipe[s]: Ruka's Trident,Рецепт[|а|ов]: трезубец Руки
Recipe[s]: Ruka's Visage,Рецепт[|а|ов]: лик Руки
Recipe[s]: Ruka's Visor,Рецепт[|а|ов]: забрало Руки
Recipe[s]: Ruka's Wand,Рецепт[|а|ов]: жезл Руки
Recipe[s]: Ruka's Warfists,Рецепт[|а|ов]: боевые рукавицы Руки
Recipe[s]: Ruka's Warhammer,Рецепт[|а|ов]: боевой молот Руки
Recipe[s]: Sigil of Centaur Slaying,Рецепт[|а|ов]: сигил истребления кентавров
Recipe[s]: The Twins' Blade,Рецепт[|а|ов]: клинок Близнецов
Recipe[s]: The Twins' Grips,Рецепт[|а|ов]: перчатки Близнецов
Recipe[s]: The Twins' Guise,Рецепт[|а|ов]: личина Близнецов
Recipe[s]: The Twins' Masque,Рецепт[|а|ов]: маска Близнецов
Recipe[s]: The Twins' Musket,Рецепт[|а|ов]: мушкет Близнецов
Recipe[s]: The Twins' Razor,Рецепт[|а|ов]: бритва Близнецов
Recipe[s]: The Twins' Spire,Рецепт[|а|ов]: шпиль Близнецов
Recipe[s]: The Twins' Visor,Рецепт[|а|ов]: забрало Близнецов
Recipe[s]: The Twins' Wand,Рецепт[|а|ов]: жезл Близнецов
Recipe[s]: Tizlak's Bastion,Рецепт[|а|ов]: бастион Тизлака
Recipe[s]: Tizlak's Blade,Рецепт[|а|ов]: клинок Тизлака
Recipe[s]: Tizlak's Brazier,Рецепт[|а|ов]: жаровня Тизлака
Recipe[s]: Tizlak's Claymore,Рецепт[|а|ов]: клеймор Тизлака
Recipe[s]: Tizlak's Doublet,Рецепт[|а|ов]: дублет Тизлака
Recipe[s]: Tizlak's Epaulets,Рецепт[|а|ов]: эполеты Тизлака
Recipe[s]: Tizlak's Footwear,Рецепт[|а|ов]: обувь Тизлака
Recipe[s]: Tizlak's Greatbow,Рецепт[|а|ов]: великий лук Тизлака
Recipe[s]: Tizlak's Greaves,Рецепт[|а|ов]: наголенники Тизлака
Recipe[s]: Tizlak's Grips,Рецепт[|а|ов]: перчатки Тизлака
Recipe[s]: Tizlak's Guise,Рецепт[|а|ов]: личина Тизлака
Recipe[s]: Tizlak's Herald,Рецепт[|а|ов]: глашатай Тизлака
Recipe[s]: Tizlak's Impaler,Рецепт[|а|ов]: пронзатель Тизлака
Recipe[s]: Tizlak's Leggings,Рецепт[|а|ов]: поножи Тизлака
Recipe[s]: Tizlak's Masque,Рецепт[|а|ов]: маска Тизлака
Recipe[s]: Tizlak's Musket,Рецепт[|а|ов]: мушкет Тизлака
Recipe[s]: Tizlak's Pauldrons,Рецепт[|а|ов]: наплечники Тизлака
Recipe[s]: Tizlak's Razor,Рецепт[|а|ов]: бритва Тизлака
Recipe[s]: Tizlak's Reaver,Рецепт[|а|ов]: секира Тизлака
Recipe[s]: Tizlak's Spire,Рецепт[|а|ов]: шпиль Тизлака
Recipe[s]: Tizlak's Striders,Рецепт[|а|ов]: поступи Тизлака
Recipe[s]: Tizlak's Tassets,Рецепт[|а|ов]: набедренники Тизлака
Recipe[s]: Tizlak's Trident,Рецепт[|а|ов]: трезубец Тизлака
Recipe[s]: Tizlak's Visage,Рецепт[|а|ов]: лик Тизлака
Recipe[s]: Tizlak's Visor,Рецепт[|а|ов]: забрало Тизлака
Recipe[s]: Tizlak's Wand,Рецепт[|а|ов]: жезл Тизлака
Recipe[s]: Tizlak's Warfists,Рецепт[|а|ов]: боевые рукавицы Тизлака
Recipe[s]: Trailblazer's Pearl Rod,Рецепт[|а|ов]: жемчужный жезл первопроходца
Recipe[s]: Tray of Blackberry Cookies,Рецепт[|а|ов]: поднос ежевичного печенья
Recipe[s]: Tray of Blackberry Pear Compote,Рецепт[|а|ов]: поднос компота из ежевики и груши
Recipe[s]: Tray of Blackberry Pies,Рецепт[|а|ов]: поднос ежевичных пирогов
Recipe[s]: Tray of Cherry Pies,Рецепт[|а|ов]: поднос вишнёвых пирогов
Recipe[s]: Tray of Grape Pies,Рецепт[|а|ов]: поднос виноградных пирогов
Recipe[s]: Tray of Mango Pies,Рецепт[|а|ов]: поднос пирогов с манго
Recipe[s]: Tray of Omnomberry Pies,Рецепт[|а|ов]: поднос пирогов с омномягодой
Recipe[s]: Tray of Peach Pies,Рецепт[|а|ов]: поднос персиковых пирогов
Recipe[s]: Tray of Pumpkin Pies,Рецепт[|а|ов]: поднос тыквенных пирогов
Recipe[s]: Tray of Saffron Bread,Рецепт[|а|ов]: поднос шафранного хлеба
Recipe[s]: Tray of Strawberry Pies,Рецепт[|а|ов]: поднос клубничных пирогов
Recipe[s]: Tray of Tarragon Bread,Рецепт[|а|ов]: поднос тархунного хлеба
Recipe[s]: Uzolan's Mechanical Orchestra,Рецепт[|а|ов]: механический оркестр Узолана
Recipe[s]: Ventari's Blade,Рецепт[|а|ов]: клинок Вентари
Recipe[s]: Ventari's Grips,Рецепт[|а|ов]: перчатки Вентари
Recipe[s]: Ventari's Guise,Рецепт[|а|ов]: личина Вентари
Recipe[s]: Ventari's Herald,Рецепт[|а|ов]: глашатай Вентари
Recipe[s]: Ventari's Masque,Рецепт[|а|ов]: маска Вентари
Recipe[s]: Ventari's Musket,Рецепт[|а|ов]: мушкет Вентари
Recipe[s]: Ventari's Razor,Рецепт[|а|ов]: бритва Вентари
Recipe[s]: Ventari's Reaver,Рецепт[|а|ов]: секира Вентари
Recipe[s]: Ventari's Spire,Рецепт[|а|ов]: шпиль Вентари
Recipe[s]: Ventari's Visage,Рецепт[|а|ов]: лик Вентари
Recipe[s]: Ventari's Visor,Рецепт[|а|ов]: забрало Вентари
Recipe[s]: Ventari's Wand,Рецепт[|а|ов]: жезл Вентари
Recipe[s]: Yassith's Blade,Рецепт[|а|ов]: клинок Яссита
Recipe[s]: Yassith's Doublet,Рецепт[|а|ов]: дублет Яссита
Recipe[s]: Yassith's Greatbow,Рецепт[|а|ов]: великий лук Яссита
Recipe[s]: Yassith's Greaves,Рецепт[|а|ов]: наголенники Яссита
Recipe[s]: Yassith's Grips,Рецепт[|а|ов]: перчатки Яссита
Recipe[s]: Yassith's Guise,Рецепт[|а|ов]: личина Яссита
Recipe[s]: Yassith's Herald,Рецепт[|а|ов]: глашатай Яссита
Recipe[s]: Yassith's Impaler,Рецепт[|а|ов]: пронзатель Яссита
Recipe[s]: Yassith's Masque,Рецепт[|а|ов]: маска Яссита
Recipe[s]: Yassith's Musket,Рецепт[|а|ов]: мушкет Яссита
Recipe[s]: Yassith's Razor,Рецепт[|а|ов]: бритва Яссита
Recipe[s]: Yassith's Reaver,Рецепт[|а|ов]: секира Яссита
Recipe[s]: Yassith's Short Bow,Рецепт[|а|ов]: короткий лук Яссита
Recipe[s]: Yassith's Spire,Рецепт[|а|ов]: шпиль Яссита
Recipe[s]: Yassith's Tassets,Рецепт[|а|ов]: набедренники Яссита
Recipe[s]: Yassith's Trident,Рецепт[|а|ов]: трезубец Яссита
Recipe[s]: Yassith's Visage,Рецепт[|а|ов]: лик Яссита
Recipe[s]: Yassith's Visor,Рецепт[|а|ов]: забрало Яссита
Recipe[s]: Yassith's Wand,Рецепт[|а|ов]: жезл Яссита
Reclaim Nebo Terrace from the centaurs.,Отвоюйте Nebo Terrace у кентавров.
Reclaimed %num1%/%num2% Areas,Отвоёвано %num1%/%num2% зон
Reconnected with the Wisp %num1%/%num2% Times,Восстановлена связь с Огоньком %num1%/%num2% раз
Recordings Located,Записи обнаружены
Recover %num2% fumbles from the opposing team in keg brawl.,Заберите %num2% упущенных мячей у команды соперников в бочковой потасовке.
Recover %num2% fumbles from your own team in Keg Brawl.,Заберите %num2% упущенных мячей у своей команды в бочковой потасовке.
Recover %num2% lost Guardian statues.,Верните %num2% утраченных статуй Стража.
Recover Dog Tag,Забрать жетон с именем
Recover Seraph Badge,Забрать значок Серафимов
Recover all %num2% Elonian armor pieces through completing the Personal Story.,"Верните все %num2% элонских доспехов, завершив Личную историю."
"Recover all %num2% Elonian weapons by completing events, looting chests, and identifying items in renown regions of the Crystal Desert.","Верните все %num2% элонских оружий, выполняя события, вскрывая сундуки и опознавая предметы в почётных регионах Crystal Desert."
Recover the chugger from the dredge.,Отбейте тягач у дреджей.
Recover the last piece of the artifact from the Inquest.,Заберите у Инквеста последнюю часть артефакта.
Recover the last piece of the artifact while it's in transit.,"Заберите последнюю часть артефакта, пока её перевозят."
Recover your krewe's translocator.,Верните транслокатор своего крю.
Recovered %num1% of %num2% Mementos,Возвращено %num1% из %num2% памятных вещей
Recovered %num1%/%num2% Elonian Weapons,Возвращено %num1%/%num2% элонских оружий
Recovered %num1%/%num2% Pieces of Equipment,Возвращено %num1%/%num2% предметов снаряжения
Recovered %num1%/%num2% Sulfur-Worn Coins,Возвращено %num1%/%num2% серных монет
Recovered %num1%/6 Memory Fragments,Возвращено %num1%/6 фрагментов памяти
Recovered and Delivered %num1% of %num2% Mementos,Возвращено и доставлено %num1% из %num2% памятных вещей
Recruit Barron and Fero for the defense of Claw Island.,Завербуйте Баррона и Феро для защиты Острова Когтя.
"Recruit Tegwen, a warden of the sylvari.","Завербуйте Тегвен, стража сильвари."
Recruit the quaggan outcast Baroosh to defend the village.,Завербуйте изгоя-кваггана Барооша для защиты деревни.
Recruiter Donald,Вербовщик Дональд
Recruiter Riannan,Вербовщица Рианнан
Red %str1% Borderlands Asura Gate,Красные врата асура на %str1% Пограничье
Red Firework,Красный фейерверк
Red Toxin,Красный токсин
Red Toxin Weakness,Слабость от красного токсина
Redclaw Flame Transformation,Превращение Красного Когтя в пламя
Redclaw Separatist Transformation,Превращение Красного Когтя в сепаратиста
Reduce incoming damage. You are still susceptible to control effects.,Снижает входящий урон. Вы всё ещё уязвимы для эффектов контроля.
Reduce recharge of other signets.,Сокращает перезарядку других печатей.
Reduced %num1%/%num2% Opponents to Scrap,Превращено в металлолом %num1%/%num2% противников
Reduced Health and Outgoing Damage,Здоровье и исходящий урон снижены
Reduces damage from enemy guards.,Снижает урон от вражеских стражников.
Reduces incoming damage.,Снижает входящий урон.
Reduces incoming damage. Absorbs damage from Vortex Pull.,Снижает входящий урон. Поглощает урон от «Притяжения вихря».
"Reduces incoming damage. Absorbs damage from Vortex Pull. When detonated, damages crystal elementals.",Снижает входящий урон. Поглощает урон от «Притяжения вихря». При детонации наносит урон кристальным элементалям.
Reduces the damage you take from siege-engine attacks.,"Снижает урон, получаемый от атак осадных орудий."
Reflect,Отразить
Reflect 33%% of melee attack damage to your attacker and set them on fire.,Отразите 33%% урона от атаки ближнего боя обратно атакующему и подожгите его.
Reflect incoming damage back to its source; stacks duration.,Отражает входящий урон обратно к источнику; складывается по длительности.
Reflect projectiles.,Отражает снаряды.
Reflected at %num1%/%num2% Graves,Отражено у %num1%/%num2% могил
Reflects damage. Immune to conditions. Removed by treant pollen.,Отражает урон. Невосприимчив к состояниям. Снимается пыльцой древня.
Reflects incoming Missiles,Отражает входящие ракеты
Reflects missiles,Отражает ракеты
Reflects projectiles and burns melee attackers.,Отражает снаряды и поджигает атакующих в ближнем бою.
Refraction Cutter Blade,Клинок преломляющего резака
Refreshing.,Освежает.
