english,translate
Zhaitan's Weight Skin,Облик «Вес Зайтана»
Zhaitan's Wing,Крыло Зайтана
Zhaitan's Wing Skin,Облик «Крыло Зайтана»
Zhaitan's Wisdom,Мудрость Зайтана
Zhaitan's Wisdom Skin,Облик «Мудрость Зайтана»
Zhed's Boots,Сапоги Жеда
Zhed's Coat,Куртка Жеда
Zhed's Gloves,Перчатки Жеда
Zhed's Leggings,Поножи Жеда
Zhed's Mantle,Накидка Жеда
Zhed's Mask,Маска Жеда
Zho's Boots,Сапоги Жо
Zho's Coat,Куртка Жо
Zho's Gloves,Перчатки Жо
Zho's Leggings,Поножи Жо
Zho's Mask,Маска Жо
Zho's Pauldrons,Наплечники Жо
Zinc Ore,Цинковая руда
Zinn Vault Key,Ключ от хранилища Зинна
Zintl Armor Chest,Сундук брони Зинтл
Zintl Artifact,Артефакт Зинтла
Zintl Bastion,Бастион Зинтла
Zintl Blade,Клинок Зинтла
Zintl Brazier,Жаровня Зинтла
Zintl Breastplate,Нагрудник Зинтла
Zintl Breeches,Штаны Зинтла
Zintl Claymore,Клеймор Зинтла
Zintl Cloth Breather,Тканевая дыхательная маска Зинтла
Zintl Doublet,Дублет Зинтла
Zintl Epaulets,Эполеты Зинтла
Zintl Flanged Mace,Фланцевая булава Зинтла
Zintl Footwear,Обувь Зинтла
Zintl Greatbow,Большой лук Зинтла
Zintl Greaves,Наголенники Зинтла
Zintl Grips,Хваты Зинтла
Zintl Guise,Личина Зинтла
Zintl Harpoon Gun,Гарпунное ружьё Зинтла
Zintl Herald,Глашатай Зинтла
Zintl Impaler,Пронзатель Зинтла
Zintl Leather Breather,Кожаная дыхательная маска Зинтла
Zintl Leggings,Поножи Зинтла
Zintl Masque,Маска Зинтла
Zintl Metal Breather,Металлическая дыхательная маска Зинтла
Zintl Musket,Мушкет Зинтла
Zintl Pauldrons,Наплечники Зинтла
Zintl Razor,Бритва Зинтла
Zintl Reaver,Жнец Зинтла
Zintl Revolver,Револьвер Зинтла
Zintl Shaman Inscription,Гравировка шамана зинтлов
Zintl Shaman Insignia,Инсигния шамана зинтлов
Zintl Short Bow,Короткий лук Зинтла
Zintl Shoulderguard,Наплечный доспех Зинтла
Zintl Spire,Шпиль Зинтла
Zintl Striders,Походные сапоги Зинтла
Zintl Tassets,Набедренники Зинтла
Zintl Trident,Трезубец Зинтла
Zintl Visage,Лик Зинтла
Zintl Visor,Забрало Зинтла
Zintl Wand,Жезл Зинтла
Zintl Warfists,Боевые рукавицы Зинтла
Zintl Warhammer,Боевой молот Зинтла
Zintl Weapon Chest,Сундук с оружием Зинтла
Zintl Wristguards,Наручи Зинтла
Zodiac Axe,Топор Зодиака
Zodiac Axe Skin,Облик топора «Зодиак»
Zodiac Dagger,Кинжал Зодиака
Zodiac Dagger Skin,Облик кинжала «Зодиак»
Zodiac Focus,Фокус Зодиака
Zodiac Focus Skin,Облик фокуса «Зодиак»
Zodiac Greatsword,Двуручный меч Зодиака
Zodiac Greatsword Skin,Облик двуручного меча «Зодиак»
Zodiac Hammer,Молот Зодиака
Zodiac Hammer Skin,Облик молота «Зодиак»
Zodiac Heavy Armor Skin,Облик тяжёлой брони «Зодиак»
Zodiac Heavy Gauntlet Skin,Облик латных перчаток «Зодиак»
Zodiac Heavy Gauntlets,Латные перчатки Зодиака
Zodiac Heavy Legplate Skin,Облик набедренников «Зодиак»
Zodiac Heavy Legplates,Набедренники Зодиака
Zodiac Heavy Pauldron Skin,Облик наплечников «Зодиак»
Zodiac Heavy Pauldrons,Наплечники Зодиака
Zodiac Heavy Warboot,Боевые сапоги Зодиака
Zodiac Heavy Warboot Skin,Облик боевых сапог «Зодиак»
Zodiac Heavy Warhelm,Боевой шлем Зодиака
Zodiac Heavy Warhelm Skin,Облик боевого шлема «Зодиак»
Zodiac Heavy Warplate,Боевая кираса Зодиака
Zodiac Heavy Warplate Skin,Облик боевой кирасы «Зодиак»
Zodiac Light Armor Skin,Облик лёгкой брони «Зодиак»
Zodiac Light Glove Skin,Облик перчаток «Зодиак»
Zodiac Light Gloves,Перчатки Зодиака
Zodiac Light Goggles,Лёгкие очки «Зодиак»
Zodiac Light Goggles Skin,Облик лёгких очков «Зодиак»
Zodiac Light Mantle,Лёгкая накидка «Зодиак»
Zodiac Light Mantle Skin,Облик лёгкой накидки «Зодиак»
Zodiac Light Pant Skin,Облик лёгких штанов «Зодиак»
Zodiac Light Pants,Лёгкие штаны Зодиака
Zodiac Light Shoe Skin,Облик лёгкой обуви «Зодиак»
Zodiac Light Shoes,Лёгкие туфли Зодиака
Zodiac Light Vest,Лёгкий жилет «Зодиак»
Zodiac Light Vest Skin,Облик лёгкого жилета «Зодиак»
Zodiac Longbow,Длинный лук Зодиака
Zodiac Longbow Skin,Облик длинного лука «Зодиак»
Zodiac Mace,Булава Зодиака
Zodiac Mace Skin,Облик булавы «Зодиак»
Zodiac Medium Armguard Skin,Облик средних наручей «Зодиак»
Zodiac Medium Armguards,Средние наручи Зодиака
Zodiac Medium Armor Skin,Облик средней брони «Зодиак»
Zodiac Medium Boot Skin,Облик средних ботинок «Зодиак»
Zodiac Medium Boots,Средние сапоги Зодиака
Zodiac Medium Helmet,Средний шлем Зодиака
Zodiac Medium Helmet Skin,Облик среднего шлема «Зодиак»
Zodiac Medium Jerkin,Средний колет Зодиака
Zodiac Medium Jerkin Skin,Облик среднего колета «Зодиак»
Zodiac Medium Legging Skin,Облик средних поножей «Зодиак»
Zodiac Medium Leggings,Средние поножи Зодиака
Zodiac Medium Shoulderpad Skin,Облик средних наплечников «Зодиак»
Zodiac Medium Shoulderpads,Зодиакальные средние наплечники
Zodiac Pistol,Зодиакальный пистолет
Zodiac Pistol Skin,Облик пистолета «Зодиак»
Zodiac Rifle,Зодиакальная винтовка
Zodiac Rifle Skin,Облик винтовки «Зодиак»
Zodiac Scepter,Зодиакальный скипетр
Zodiac Scepter Skin,Облик скипетра «Зодиак»
Zodiac Shield,Зодиакальный щит
Zodiac Shield Skin,Облик щита «Зодиак»
Zodiac Short Bow,Короткий лук Зодиака
Zodiac Short Bow Skin,Облик короткого лука «Зодиак»
Zodiac Staff,Посох Зодиака
Zodiac Staff Skin,Облик посоха «Зодиак»
Zodiac Sword,Зодиакальный меч
Zodiac Sword Skin,Облик меча «Зодиак»
Zodiac Torch,Факел Зодиака
Zodiac Torch Skin,Облик факела «Зодиак»
Zodiac Warhorn,Зодиакальный боевой рог
Zodiac Warhorn Skin,Облик боевого рога «Зодиак»
Zodiac Weapon Box,Коробка оружия Зодиака
Zohaqan's Letter,Письмо Зохакана
Zojja's Armor Chest,Сундук брони Зойи
Zojja's Artifact,Артефакт Зойи
Zojja's Bastion,Бастион Зойи
Zojja's Berserker Inscription,Гравировка берсерка Зойи
Zojja's Berserker Insignia,Инсигния берсерка Зойи
Zojja's Blade,Клинок Зойи
Zojja's Brazier,Жаровня Зойи
Zojja's Breastplate,Нагрудник Зойи
Zojja's Breeches,Штаны Зойи
Zojja's Claymore,Клеймор Зойи
Zojja's Cloth Breather,Тканевая дыхательная маска Зойи
Zojja's Doublet,Дублет Зойи
Zojja's Epaulets,Эполеты Зойи
Zojja's Flanged Mace,Фланцевая булава Зойи
Zojja's Footwear,Обувь Зойи
Zojja's Greatbow,Большой лук Зойи
Zojja's Greaves,Наголенники Зойи
Zojja's Grips,Хваты Зойи
Zojja's Guise,Личина Зойи
Zojja's Harpoon Gun,Гарпунное ружьё Зойи
Zojja's Herald,Глашатай Зойи
Zojja's Impaler,Пронзатель Зойи
Zojja's Leather Breather,Кожаная дыхательная маска Зойи
Zojja's Leggings,Поножи Зойи
Zojja's Masque,Маска Зойи
Zojja's Metal Breather,Металлическая дыхательная маска Зойи
Zojja's Musket,Мушкет Зойи
Zojja's Pauldrons,Наплечники Зойи
Zojja's Razor,Бритва Зойи
Zojja's Reaver,Жнец Зойи
Zojja's Revolver,Револьвер Зойи
Zojja's Short Bow,Короткий лук Зойи
Zojja's Shoulderguard,Наплечный щиток Зойи
Zojja's Spire,Шпиль Зойи
Zojja's Striders,Походные сапоги Зойи
Zojja's Tassets,Набедренники Зойи
Zojja's Trident,Трезубец Зойи
Zojja's Visage,Лик Зойи
Zojja's Visor,Забрало Зойи
Zojja's Wand,Жезл Зойи
Zojja's Warfists,Боевые рукавицы Зойи
Zojja's Warhammer,Боевой молот Зойи
Zojja's Weapon Chest,Сундук оружия Зойи
Zojja's Wristguards,Наручи Зойи
Zucchini,Цукини
Zucchini Seed Pouch,Мешочек семян кабачка
Zucchini Seeds,Семена кабачка
Zunja's Necklace,Ожерелье Зунджи
Zweihander Skin,Облик цвайхандера
Zweihänder,Цвайхендер
[FTT] Deployment Kit,Комплект развёртывания [FTT]
[[913817]],[[913817]]
