english,translate
Unwelcome Visitors,Незваные гости
Updraft Alley,Аллея восходящих потоков
Uplands Oasis,Оазис на возвышенности
Upper Balcony Waypoint,Путевая точка Верхнего балкона
Upper Blood Keep,Верхняя Кровавая крепость
Upper Commons,Верхние общины
Upper Commons Waypoint,Путевая точка Верхних общин
Upper Plaza Waypoint,Перекрёсток Верхней площади
Uprooted Paradise,Вырванный с корнем рай
Upsilon Test Facility,Испытательный комплекс Ипсилон
Ura's Throne,Трон Уры
Ural's Delve,Шахта Урала
Urban Battleground Fractal,Фрактал «Городское поле боя»
Urgulp,Ургулп
Usability Station,Станция удобства
Ustulate Barrens,Опаленные пустоши
Utility Passage,Утилитарный проход
Uzanarin Depths,Глубины Узанарина
Uzolan's Hideout,Убежище Узолана
Uzolan's Mechanical Orchestra,Механический оркестр Узолана
Vabbi,Вабби
Vabbian Corridor,Ваббианский коридор
Valance Tutory Waypoint,Путевая точка Валанс-Тьютори
Valdhertz Crypts,Склепы Вальдхерц
Vale Gazebo,Беседка в долине
Vale Waypoint,Путевая точка Долины
Valley,Долина
Valley Emergency Waypoint A,Аварийная путевая точка долины А
Valley Emergency Waypoint B,Аварийная путевая точка долины Б
Valley Emergency Waypoint C,Аварийная путевая точка долины В
Valley of Agony,Долина агонии
Valley of Gwaun,Долина Гваун
Valley of Lyss,Долина Лисс
Valley of Lyss Waypoint,Путевая точка Долины Лисс
Valley of the Damned,Долина Проклятых
Valley Waypoint,Путевая точка долины
Valor Shrine,Святилище Доблести
Valravn's Perch,Насест Вальравна
Valravn's Post,Пост Вальравна
Valravn's Vigil,Дозор Вальравна
Valslake,Вальслейк
Valslake Waypoint,Путевая точка Вальслейка
Vandal's Claim,Владение Вандала
Vanguard Hospital,Госпиталь Авангарда
Vanguard Ordinance,Оружейная Авангарда
Vanguard Salvage Yard,Свалка Авангарда
Vanjir's Stead Waypoint,Путь к стойлу Ванжира
Vantage Dome Waypoint,Путевая точка Купола Обзора
Vantage Scree,Смотровая осыпь
Varim's Run,Бег Варима
Varimhold Outpost,Аванпост Варимхольд
Vasburg Armory,Оружейная Васбурга
Vass Memorial Medical Plaza,Медицинская площадь мемориала Васса
Vass's Compassion,Сострадание Васса
Vass's Tower,Башня Васса
Vassar's Vault,Хранилище Вассара
Vast Caldera's Room,Комната Обширной кальдеры
Vault of the Khan-Ur,Хранилище Хан-Ура
Vaults of Holiness Waypoint,Путевая точка Хранилищ Святости
Vehjin Mines,Шахты Веджина
Vehjin Palace,Дворец Веджина
Vehjin Palace Waypoint,Путевая точка Дворца Веджина
Vehjin Royal Rotunda,Королевская ротонда Веджина
Vehtendi Academy,Академия Вехтенди
Vehtendi Academy Waypoint,Путевая точка Академии Вехтенди
Vehtendi Arena,Арена Вехтенди
Vehtendi Vineyard,Виноградник Вехтенди
Veiled Cliff,Скрытый утес
Veins of Jormag,Жилы Йормаг
Veins of the Dragon,Жилы Дракона
Veldrunner Drifts,Дрифты Велдраннеров
Veloka Slope,Склон Велоки
Veloka Slope Emergency Waypoint,Аварийная путевая точка Склона Велока
Veloka Tower,Башня Велока
Vendrake's Homestead Waypoint,Путевая точка Усадьбы Вендрейка
Venison Pass,Олений перевал
Venlin Vale,Долина Венлин
Venomblight,Ядовитая гниль
Venomgrove Observatory,Обсерватория Ядовитой рощи
Venta Pass,Перевал Вента
Venta Pass Waypoint,Путевая точка Перевала Вента
Ventari's Tablet,Табличка Вентари
Ventry Bay,Залив Вентри
Verarium Delves,Копи Верариума
Verdance Falls,Водопады Верданс
Verdance Waypoint,Путевая точка Верданс
Verdant Brink,Зелёный рубеж
Verdant Brink (Landfall),Зеленеющий Рубеж (Место высадки)
Verdant Falls,Водопады Вердант
Verdant Gate,Врата Вердант
Verdure Gallery,"Галерея ""Зелёный мир"""
Vermin's Folly,Причуда Паразита
Versoconjouring Array,Матрица версоконжуринга
Versoconjouring Waypoint,Путевая точка Версоконъюрирования
Vesper Bell Waypoint,Путевая точка Веспер Белл
Vestibule of Faith,Вестибюль Веры
Vexa's Lab,Лаборатория Вексы
Vheratha's Tavern,Таверна Вераты
Viath Shore,Берег Виатан
Viathan Lake,Озеро Виатан
Viathan Waypoint,Путь к Вайтану
Viathan's Arm,Рука Виатана
Victium Moors,Виктиумские топи
Victor's Point,Точка Победителя
Victor's Presidium,Президиум Победителя
Victory Cenotaph,Кенотаф Победы
Victory or Death,Победа или смерть
Vidius Castrum Waypoint,Путевая точка Видиус Каструм
Vigil Billet,Постой Дозора
Vigil Centerhouse,Центральный дом Дозора
Vigil Chapterhouse,Капитул Дозора
Vigil Gate,Врата Дозора
Vigil Hall,Зал Дозора
Vigil Headquarters,Главный штаб Дозора
Vigil HQ,Штаб-квартира Vigil
Vigil Keep,Крепость Дозора
Vigil Keep Waypoint,Путевая точка Крепости Дозора
Vigil Recruiting Station,Вербовочный пункт Дозора
Vigil Shelter,Убежище Дозора
Vigilant Hills,Бдительные холмы
Vigilant Precipice,Бдительный обрыв
Village of Astorea,Деревня Асторея
Village of Butcher's Block,Деревня Мясницкий Блок
Village of Ewan,Деревня Юэн
Village of Kweli,Деревня Квели
Village of Purity,Деревня Чистоты
Village of Scalecatch Waypoint,Путевая точка Деревни Чешуеловов
Village of Shaemoor,Деревня Шеймур
Village of Smokestead,Деревня Смоукстед
Village of Wren,Деревня Врен
Village Sayix,Деревня Сайих
Village Waypoint,Путевая точка Деревни
Villmark Foothills,Предгорья Виллмарк
Vindar's Lagoon,Лагуна Виндара
Vine Bridge Waypoint,Путевая точка Виноградного моста
Vine Wall,Стена из лоз
Vinetooth Den,Логово Винетоота
Vinewrath Tangle,Заросли Виневрата
Viper's Run,Тропа Гадюки
Viper's Run Waypoint,Путевая точка: Тропа Гадюки
Vir's Gate Waypoint,Путевая точка: Врата Вира
Viraddi's Salvation,Спасение Вирадди
Virtual Theorem Replicator,Репликатор виртуальных теорем
Virulent Wastes,Ядовитые пустоши
Viscous Caves,Вязкие пещеры
Vista Lawn,Виста-Лоун
Vista Lawn Waypoint,Путевая точка: Лужайка с видом
Vitpeln Hills,Холмы Витпелн
Vitriolic Rim,Едкая кромка
Vloxen Mine,Шахта Влоксена
Vloxen Shards,Осколки Влоксена
Voice in the Deep,Голос из глубин
Voice of the Fallen and Claw of the Fallen,Голос Павших и Коготь Павших
Voice of the Fallen and Claw of the Fallen (Public),Голос Павших и Коготь Павших (публичный)
Voices From the Past,Голоса из прошлого
Volcanic Extraction,Вулканическая добыча
Volcanic Fractal,Вулканический фрактал
Volcanium Pit,Волканиевая яма
Volcanium Waypoint,Путевая точка: Вулканическая
Vollym's Battle Pit,Боевая яма Воллыма
Voloxian Passage,Проход Волоксиана
Vonooroovah,Воноорува
Vorgas Garrison Waypoint,Путевая точка: Гарнизон Воргас
Votive Cathedral,Собор обетов
Vpered Drill,Буровая «Вперёд»
Vulture Drifts,Стервятниковые дрейфы
Vulture's Sweep,Стервятниковый размах
Vulture's Waypoint,Путевая точка: Стервятниковая
Wailing Basin,Плачущий бассейн
Wailing Sands,Плачущие пески
Wallwatcher Camp,"Лагерь ""Страж Стен"""
Wanderer's Waypoint,Путевая точка: Странника
War King's Greatcamp,Великий лагерь Военного короля
War Room,Военный зал
War Wagon Prep Deck,Палуба подготовки боевых повозок
Warband Camp,Лагерь отряда
Warden's Folly,Безумие Стража
Warden's Office,Офис Стража
Warden's Quarters,Покои Стража
Warden's Watchgate,Сторожевые ворота Стража
Wardenhurst Waypoint,Путевая точка: Уорденхерст
Wardowns Waypoint,Путевая точка: Уордаунс
Warehouse District,Складской район
Warg Den,Логово варга
Warhound Village Waypoint,Путевая точка: Деревня боевых псов
Warmspring Grotto,Грот Тёплых Ключей
Warrior's Crown,Корона Воина
Waste Hollows,Пустотные Низины
Waste Hollows Waypoint,Путевая точка Пустотных Низин
Wasted Shallows,Опустошенные Мелководья
Wasteland of the Destroyer,Пустошь Разрушителя
Watchcrag Tower Waypoint,Путевая точка Башни Дозорного Утеса
Watcher of the Woods,Страж Лесов
Watcher's Hollow,Лощина Стража
Watchful Fjord,Дозорный Фьорд
Watchful Source Waypoint,Путь к Бдительному Источнику
Watchful Waypoint,Путевая точка Дозорного
Watchlin Armory,Арсенал Стражей
Watchman's Roost,Пристанище Дозорного
Watchtower Cliffs,Утесы Сторожевой Башни
Waterfall Plaza Waypoint,Путевая точка Площади Водопада
Waters of the First Dream,Воды Первого Сна
Wayfarer Foothills,Предгорья Странника
Wayment Seep,Просачивание Уэймента
Waypoint zu Heltzer,Путевая точка Хельцера
Wayward Cave,Своенравная пещера
Wayward Climb,Своенравный подъём
Wayward Watch,Своенравный дозор
Waywarde Way,Своенравный путь
Waywarde Waypoint,Путевая точка Своенравного пути
Weakness of the Heart,Слабость сердца
Weeping Falls,Плачущие водопады
Weeping Glade,Плачущая Роща
Weight of the World: Lady Joon's Estate,Бремя мира: Поместье леди Джун
Welcome Home,Добро пожаловать домой
Well of Ahdashim,Колодец Ахдашима
Well of Anguish,Колодец Страданий
Well of Stars,Колодец Звезд
Wendon Waypoint,Перекрёсток Вендона
Western Aetherblade Crash Site,Западное место крушения Эфирных клинков
Western Allied Access,Западный союзный проход
Western Boiling Sea,Западное Кипящее море
Western Bulwark,Западный бастион
Western Chambers,Западные палаты
Western Commons,Западные общины
Western Complex,Западный комплекс
Western Divinity Dam,Западная плотина Божественности
Western Front,Западный фронт
Western Landing,Западная пристань
Western Landing Thumper Site,Западная пристань: площадка бура
Western Maw,Западная пасть
Western Mihan Hillsides,Западные склоны Михан
Western Outpost,Западный аванпост
Western Pyramid,Западная пирамида
Western Research Facilities,Западные исследовательские объекты
Western Strait,Западный пролив
Western Transept,Западный трансепт
Western Transept Waypoint,Путевая точка Западного трансепта
Western Tunnel,Западный туннель
Western Vale,Западная долина
Western Ward,Западный квартал
Western Ward Waypoint,Путевая точка Западного квартала
Westgate,Западные ворота
Westwatch Patch,Участок Западного дозора
Westwatch Waypoint,Путевая точка Западного дозора
Wet Work,Мокрая работа
Weta Alcove,Вэта-Алькоув
What the Eye Beholds,Что видит глаз
What's Left Behind,Что осталось позади
Where Credit Is Due,Где отдают должное
Where Life Goes,Куда уходит жизнь
Whisper Bay,Бухта Шепота
Whisper of Jormag,Шепот Йормага
Whisper of Jormag (Public),Шепот Йормага (публичный)
Whispering Artifact,Шепчущий артефакт
Whispering Caverns,Шепчущие пещеры
Whispering Depths,Шепчущие глубины
Whispering Falls,Шепчущие водопады
Whispering Grottos,Шепчущие гроты
Whispering Hollows,Шепчущие лощины
Whispers in the Dark,Шёпот во тьме
Whispers of Vengeance,Шёпот мести
Whisperwill Bogs,Болота Шепчущей ивы
Whisperwill Waypoint,Путевая точка Шепчущей ивы
Whisperwind Grotto,Грот Шепчущего ветра
White Bears Pride Waypoint,Путевая точка Гордости Белых медведей
White Crane Terrace,Терраса Белого журавля
White Mantle Hideout,Убежище Белой Мантии
White Paper Hill,Холм Белой бумаги
White Paper Waypoint,Путевая точка Белой бумаги
Whitland Flats,Равнины Уитленд
Whorl Lagoon,Лагуна Вихря
Wide Expanse Waypoint,Путевая точка Широкого простора
Wild Growth,Дикий рост
Wild Spirits,Дикие духи
Wildcreek Post,Пост Дикого ручья
Wildcreek Run,Уайлдкрик-Ран
Wildcreek Run Emergency Waypoint,Аварийная путевая точка Дикого ручья
Wildfire,Лесной пожар
Wildflame Caverns,Пещеры Дикого пламени
Wildlin Narrows,Теснина Уайлдлин
Wildspine Hills,Холмы Дикого хребта
Wiley's Cove,Бухта Уайли
Willem's Bandits,Бандиты Виллема
Willing Captives,Добровольные пленники
Willowalk Groves,Роща Ивовой Прогулки
Winch Hold,Удерживать лебедку
Wind Rider Ledge,Уступ Ветрокрыла
Windchill Pass,Перевал Ветрохолода
Winding Haven,Извилистая гавань
Windloss Delves,Ветролом Ветропотери
Windrock Maze,Лабиринт Ветроскалы
Windshear Scarps,Склоны Ветрореза
Windswept Arena Waypoint,Путевая точка Ветреной арены
Windswept Haven,Ветреная Гавань
Windy Cave,Ветреная пещера
Wine Cellar,Винный погреб
Wing's Shadow,Тень Крыла
Wingspan Arch,Арка Размаха Крыльев
Winter Haven Waypoint,Путевая точка Зимней Гавани
Winter Wonderland,Зимняя сказка
Winter's Teeth,Зубы Зимы
Winter's Vigil,Зимнее бдение
