english,translate
Recipe[s]: Claw of Retribution,[Рецепт|Рецепта|Рецептов]: коготь Возмездия
Recipe[s]: Clay Pot,[Рецепт|Рецепта|Рецептов]: глиняный горшок
Recipe[s]: Clear Water Moss Cake,[Рецепт|Рецепта|Рецептов]: Пирог из мха чистой воды
Recipe[s]: Cleaver,[Рецепт|Рецепта|Рецептов]: тесак
Recipe[s]: Cleric's Darksteel Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная гравировка клирика из тёмной стали
Recipe[s]: Cleric's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния клирика из паутинки
Recipe[s]: Cleric's Intricate Linen Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния клирика из льна
Recipe[s]: Cleric's Intricate Silk Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния клирика из шёлка
Recipe[s]: Cleric's Mithril Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная мифриловая гравировка клирика
Recipe[s]: Cleric's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка клирика
Recipe[s]: Cloven Hooves (Level 20),[Рецепт|Рецепта|Рецептов]: раздвоенные копыта (Ур. 20)
Recipe[s]: Cloven Hooves (Level 31),[Рецепт|Рецепта|Рецептов]: раздвоенные копыта (ур. 31)
Recipe[s]: Coalforge's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Углегорна
Recipe[s]: Coalforge's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Углегорна
Recipe[s]: Coalforge's Blade,[Рецепт|Рецепта|Рецептов]: клинок Углегорна
Recipe[s]: Coalforge's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Углегорна
Recipe[s]: Coalforge's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Углегорна
Recipe[s]: Coalforge's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Углегорна
Recipe[s]: Coalforge's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Углегорна
Recipe[s]: Coalforge's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Углегорна
Recipe[s]: Coalforge's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Углегорна
Recipe[s]: Coalforge's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Углегорна
Recipe[s]: Coalforge's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Углегорна
Recipe[s]: Coalforge's Rampager Inscription,[Рецепт|Рецепта|Рецептов]: гравировка буяна Углегорна
Recipe[s]: Coalforge's Razor,[Рецепт|Рецепта|Рецептов]: бритва Углегорна
Recipe[s]: Coalforge's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Углегорна
Recipe[s]: Coalforge's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Углегорна
Recipe[s]: Coalforge's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Углегорна
Recipe[s]: Coalforge's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Углегорна
Recipe[s]: Coalforge's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Углегорна
Recipe[s]: Coalforge's Wand,[Рецепт|Рецепта|Рецептов]: жезл Углегорна
Recipe[s]: Coalforge's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Углегорна
Recipe[s]: Coleoptera,[Рецепт|Рецепта|Рецептов]: колеоптера
Recipe[s]: Commander's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния командира из паутинки
Recipe[s]: Commander's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка командира
Recipe[s]: Concentrated Halloween Tonic,[Рецепт|Рецепта|Рецептов]: концентрированный эликсир на Хэллоуин
Recipe[s]: Concordance (Level 31),[Рецепт|Рецепта|Рецептов]: созвучие (Уровень 31)
Recipe[s]: Concordance (Level 55),[Рецепт|Рецепта|Рецептов]: созвучие (Уровень 55)
Recipe[s]: Confetti Pouch,[Рецепт|Рецепта|Рецептов]: мешочек конфетти
Recipe[s]: Conjured Amalgamate's Token,[Рецепт|Рецепта|Рецептов]: токен Призванного Амальгамата
Recipe[s]: Consecrated Saryx Axe,[Рецепт|Рецепта|Рецептов]: освящённый топор Сарикса
Recipe[s]: Consecrated Saryx Dagger,[Рецепт|Рецепта|Рецептов]: кинжала «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Focus,[Рецепт|Рецепта|Рецептов]: фокуса «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Greatsword,[Рецепт|Рецепта|Рецептов]: двуручного меча «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Hammer,[Рецепт|Рецепта|Рецептов]: молота «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Longbow,[Рецепт|Рецепта|Рецептов]: длинного лука «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Mace,[Рецепт|Рецепта|Рецептов]: булавы «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Pistol,[Рецепт|Рецепта|Рецептов]: пистолета «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Rifle,[Рецепт|Рецепта|Рецептов]: винтовки «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Scepter,[Рецепт|Рецепта|Рецептов]: скипетра «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Shield,[Рецепт|Рецепта|Рецептов]: щита «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Short Bow,[Рецепт|Рецепта|Рецептов]: короткого лука «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Staff,[Рецепт|Рецепта|Рецептов]: посоха «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Sword,[Рецепт|Рецепта|Рецептов]: меча «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Torch,[Рецепт|Рецепта|Рецептов]: факела «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Warhorn,[Рецепт|Рецепта|Рецептов]: боевого рога «Освящённый Сарикс»
Recipe[s]: Copper Mace,[Рецепт|Рецепта|Рецептов]: медная булава
Recipe[s]: Copper Sword,[Рецепт|Рецепта|Рецептов]: Медный меч
Recipe[s]: Corrupted Artifact,[Рецепт|Рецепта|Рецептов]: Искажённый артефакт
Recipe[s]: Corrupted Avenger,[Рецепт|Рецепта|Рецептов]: Искажённый мститель
Recipe[s]: Corrupted Blade,[Рецепт|Рецепта|Рецептов]: Искажённый клинок
Recipe[s]: Corrupted Blaster,[Рецепт|Рецепта|Рецептов]: Искажённый бластер
Recipe[s]: Corrupted Branch,[Рецепт|Рецепта|Рецептов]: Искаженная ветвь
Recipe[s]: Corrupted Bulwark,[Рецепт|Рецепта|Рецептов]: Искажённый оплот
Recipe[s]: Corrupted Cudgel,[Рецепт|Рецепта|Рецептов]: Искаженная дубина
Recipe[s]: Corrupted Greatbow,[Рецепт|Рецепта|Рецептов]: Искажённый великий лук
Recipe[s]: Corrupted Harbinger,[Рецепт|Рецепта|Рецептов]: Искажённый предвестник
Recipe[s]: Corrupted Harpoon Gun,[Рецепт|Рецепта|Рецептов]: искаженное гарпунное ружьё
Recipe[s]: Corrupted Jar,[Рецепт|Рецепта|Рецептов]: Искаженная банка
Recipe[s]: Corrupted Revolver,[Рецепт|Рецепта|Рецептов]: Искажённый револьвер
Recipe[s]: Corrupted Scepter,[Рецепт|Рецепта|Рецептов]: Искажённый скипетр
Recipe[s]: Corrupted Shard,[Рецепт|Рецепта|Рецептов]: Порченый осколок
Recipe[s]: Corrupted Short Bow,[Рецепт|Рецепта|Рецептов]: Порченый короткий лук
Recipe[s]: Corrupted Skeggox,[Рецепт|Рецепта|Рецептов]: Порченый скеггокс
Recipe[s]: Corrupted Sledgehammer,[Рецепт|Рецепта|Рецептов]: порченая кувалда
Recipe[s]: Corrupted Spear,[Рецепт|Рецепта|Рецептов]: порченое копьё
Recipe[s]: Corrupted Trident,[Рецепт|Рецепта|Рецептов]: Порченый трезубец
Recipe[s]: Corrupted Wartorch,[Рецепт|Рецепта|Рецептов]: Порченый боевой факел
Recipe[s]: Corsair Maintenance Oil,[Рецепт|Рецепта|Рецептов]: корсарское масло для ухода
Recipe[s]: Corsair Sharpening Stone,[Рецепт|Рецепта|Рецептов]: корсарский точильный камень
Recipe[s]: Corsair Tuning Crystal,[Рецепт|Рецепта|Рецептов]: корсарский кристалл настройки
Recipe[s]: Counterweighting Mechanism,[Рецепт|Рецепта|Рецептов]: уравновешивающий механизм
Recipe[s]: Crimson Dragon Slayer Axe,[Рецепт|Рецепта|Рецептов]: Багровый топор драконоборца
Recipe[s]: Crimson Dragon Slayer Dagger,[Рецепт|Рецепта|Рецептов]: Багровый кинжал драконоборца
Recipe[s]: Crimson Dragon Slayer Focus,[Рецепт|Рецепта|Рецептов]: Багровый фокус драконоборца
Recipe[s]: Crimson Dragon Slayer Greatsword,[Рецепт|Рецепта|Рецептов]: Багровый двуручный меч драконоборца
Recipe[s]: Crimson Dragon Slayer Hammer,[Рецепт|Рецепта|Рецептов]: Молот «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Mace,[Рецепт|Рецепта|Рецептов]: булава «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Pistol,[Рецепт|Рецепта|Рецептов]: пистолет «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Rifle,[Рецепт|Рецепта|Рецептов]: винтовка «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Shield,[Рецепт|Рецепта|Рецептов]: Щит «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Staff,[Рецепт|Рецепта|Рецептов]: Посох «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Sword,[Рецепт|Рецепта|Рецептов]: Меч «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Torch,[Рецепт|Рецепта|Рецептов]: Факел «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Warhorn,[Рецепт|Рецепта|Рецептов]: Боевой рог «Алый драконоборец»
Recipe[s]: Crusader Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния крестоносца из паутинки
Recipe[s]: Crusader Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка крестоносца
Recipe[s]: Crusader's Shield,[Рецепт|Рецепта|Рецептов]: Щит крестоносца
Recipe[s]: Cry (Level 31),[Рецепт|Рецепта|Рецептов]: Плач (Уровень 31)
Recipe[s]: Cry (Level 55),[Рецепт|Рецепта|Рецептов]: Плач (Уровень 55)
Recipe[s]: Cryptopidae,[Рецепт|Рецепта|Рецептов]: криптопиды
Recipe[s]: Crystal Jar,[Рецепт|Рецепта|Рецептов]: Кристальная банка
Recipe[s]: Crystal Prism,[Рецепт|Рецепта|Рецептов]: Кристальная призма
Recipe[s]: Crystal Scroll,[Рецепт|Рецепта|Рецептов]: Кристальный свиток
Recipe[s]: Crystallized Nougat,[Рецепт|Рецепта|Рецептов]: кристаллизованная нуга
Recipe[s]: Culicidae,[Рецепт|Рецепта|Рецептов]: кулициды
Recipe[s]: Cumulus Habit (Level 55),[Рецепт|Рецепта|Рецептов]: кучевое одеяние (Уровень 55)
Recipe[s]: Cup of Light-Roasted Coffee,[Рецепт|Рецепта|Рецептов]: чашка кофе светлой обжарки
Recipe[s]: Darkvine Cloth Gloves,[Рецепт|Рецепта|Рецептов]: перчатки из тёмной лозы
Recipe[s]: Darkvine Gauntlets,[Рецепт|Рецепта|Рецептов]: рукавицы из тёмной лозы
Recipe[s]: Darkvine Leather Gloves,[Рецепт|Рецепта|Рецептов]: Кожаные перчатки из тёмной лозы
Recipe[s]: Dashing Tricorner (Level 71),[Рецепт|Рецепта|Рецептов]: лихая треуголка (Уровень 71)
Recipe[s]: Dawn Chorus (Level 71),[Рецепт|Рецепта|Рецептов]: Утренний хор (Уровень 71)
Recipe[s]: Decima Shard,[Рецепт|Рецепта|Рецептов]: Осколок Десимы
Recipe[s]: Decima's Token,[Рецепт|Рецепта|Рецептов]: токен Десимы
Recipe[s]: Deerchaser (Level 20),[Рецепт|Рецепта|Рецептов]: оленьи тропы (20 уровень)
Recipe[s]: Degun Stew,[Рецепт|Рецепта|Рецептов]: рагу Дегуна
Recipe[s]: Deimos Statue,[Рецепт|Рецепта|Рецептов]: Статуя Деймоса
Recipe[s]: Deldrimor Ring Replica,[Рецепт|Рецепта|Рецептов]: реплика Кольца Делдримора
Recipe[s]: Demon-Slaying Station,[Рецепт|Рецепта|Рецептов]: Станция уничтожения демонов
Recipe[s]: Dendritic Avenger (Level 71),[Рецепт|Рецепта|Рецептов]: дендритический Мститель (71 уровень)
Recipe[s]: Desert Sofa,[Рецепт|Рецепта|Рецептов]: Пустынный диван
Recipe[s]: Desmina's Token,[Рецепт|Рецепта|Рецептов]: токен Десмены
Recipe[s]: Dessicated Pauldrons (Level 20),[Рецепт|Рецепта|Рецептов]: высушенные наплечники (20-го уровня)
Recipe[s]: Dessicated Pauldrons (Level 31),[Рецепт|Рецепта|Рецептов]: высушенные наплечники (31 уровень)
Recipe[s]: Destroyer Jar,[Рецепт|Рецепта|Рецептов]: банка Разрушителя
Recipe[s]: Dhuum's Token,[Рецепт|Рецепта|Рецептов]: токен Дуума
Recipe[s]: Dhuum's Torch,[Рецепт|Рецепта|Рецептов]: Факел Дуума
Recipe[s]: Dignity (Level 31),[Рецепт|Рецепта|Рецептов]: достоинство (31 уровень)
Recipe[s]: Dignity (Level 55),[Рецепт|Рецепта|Рецептов]: достоинство (55 уровень)
Recipe[s]: Diptera,[Рецепт|Рецепта|Рецептов]: двукрылые
Recipe[s]: Discretion (Level 31),[Рецепт|Рецепта|Рецептов]: сдержанность (31 уровень)
Recipe[s]: Discretion (Level 55),[Рецепт|Рецепта|Рецептов]: сдержанность (55 уровень)
Recipe[s]: Disputation (Level 31),[Рецепт|Рецепта|Рецептов]: диспут (31 уровень)
Recipe[s]: Disputation (Level 55),[Рецепт|Рецепта|Рецептов]: диспут (55 уровень)
Recipe[s]: Diviner's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт прорицателя
Recipe[s]: Diviner's Bastion,[Рецепт|Рецепта|Рецептов]: бастион прорицателя
Recipe[s]: Diviner's Blade,[Рецепт|Рецепта|Рецептов]: клинок прорицателя
Recipe[s]: Diviner's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня прорицателя
Recipe[s]: Diviner's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник прорицателя
Recipe[s]: Diviner's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи прорицателя
Recipe[s]: Diviner's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор прорицателя
Recipe[s]: Diviner's Doublet,[Рецепт|Рецепта|Рецептов]: дублет прорицателя
Recipe[s]: Diviner's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты прорицателя
Recipe[s]: Diviner's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава прорицателя
Recipe[s]: Diviner's Footwear,[Рецепт|Рецепта|Рецептов]: обувь прорицателя
Recipe[s]: Diviner's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук прорицателя
Recipe[s]: Diviner's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники прорицателя
Recipe[s]: Diviner's Grips,[Рецепт|Рецепта|Рецептов]: перчатки прорицателя
Recipe[s]: Diviner's Guise,[Рецепт|Рецепта|Рецептов]: облик прорицателя
Recipe[s]: Diviner's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё прорицателя
Recipe[s]: Diviner's Herald,[Рецепт|Рецепта|Рецептов]: глашатай прорицателя
Recipe[s]: Diviner's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель прорицателя
Recipe[s]: Diviner's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния прорицателя из паутинки
Recipe[s]: Diviner's Leggings,[Рецепт|Рецепта|Рецептов]: поножи прорицателя
Recipe[s]: Diviner's Masque,[Рецепт|Рецепта|Рецептов]: маска прорицателя
Recipe[s]: Diviner's Musket,[Рецепт|Рецепта|Рецептов]: мушкет прорицателя
Recipe[s]: Diviner's Orichalcum-Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка прорицателя
Recipe[s]: Diviner's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники прорицателя
Recipe[s]: Diviner's Razor,[Рецепт|Рецепта|Рецептов]: бритва прорицателя
Recipe[s]: Diviner's Reaver,[Рецепт|Рецепта|Рецептов]: жнец прорицателя
Recipe[s]: Diviner's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер прорицателя
Recipe[s]: Diviner's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук прорицателя
Recipe[s]: Diviner's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье прорицателя
Recipe[s]: Diviner's Spire,[Рецепт|Рецепта|Рецептов]: шпиль прорицателя
Recipe[s]: Diviner's Striders,[Рецепт|Рецепта|Рецептов]: скороходы прорицателя
Recipe[s]: Diviner's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники прорицателя
Recipe[s]: Diviner's Trident,[Рецепт|Рецепта|Рецептов]: трезубец прорицателя
Recipe[s]: Diviner's Visage,[Рецепт|Рецепта|Рецептов]: лик прорицателя
Recipe[s]: Diviner's Visor,[Рецепт|Рецепта|Рецептов]: забрало прорицателя
Recipe[s]: Diviner's Wand,[Рецепт|Рецепта|Рецептов]: жезл прорицателя
Recipe[s]: Diviner's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы прорицателя
Recipe[s]: Diviner's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот прорицателя
Recipe[s]: Diviner's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи прорицателя
Recipe[s]: Doctrina,[Рецепт|Рецепта|Рецептов]: Доктрина
Recipe[s]: Dollop of Choya Harissa,[Рецепт|Рецепта|Рецептов]: шарик чойской хариссы
Recipe[s]: Dolyak Stew,[Рецепт|Рецепта|Рецептов]: похлёбка из дольяка
Recipe[s]: Dragon Hatchling Doll Adornments,[Рецепт|Рецепта|Рецептов]: украшения для куклы дракончика
Recipe[s]: Dragon Hatchling Doll Eyes,[Рецепт|Рецепта|Рецептов]: глаза для куклы дракончика
Recipe[s]: Dragon Hatchling Doll Frame,[Рецепт|Рецепта|Рецептов]: каркас куклы дракончика
Recipe[s]: Dragon Hatchling Doll Hide,[Рецепт|Рецепта|Рецептов]: шкурка куклы дракончика
Recipe[s]: Dragon Slayer Axe,[Рецепт|Рецепта|Рецептов]: топор драконоборца
Recipe[s]: Dragon Slayer Dagger,[Рецепт|Рецепта|Рецептов]: кинжал драконоборца
Recipe[s]: Dragon Slayer Focus,[Рецепт|Рецепта|Рецептов]: Фокус драконоборца
Recipe[s]: Dragon Slayer Greatsword,[Рецепт|Рецепта|Рецептов]: Двуручный меч драконоборца
Recipe[s]: Dragon Slayer Hammer,[Рецепт|Рецепта|Рецептов]: Молот драконоборца
Recipe[s]: Dragon Slayer Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук драконоборца
Recipe[s]: Dragon Slayer Mace,[Рецепт|Рецепта|Рецептов]: булава драконоборца
Recipe[s]: Dragon Slayer Pistol,[Рецепт|Рецепта|Рецептов]: пистолет Убийцы Драконов
Recipe[s]: Dragon Slayer Rifle,[Рецепт|Рецепта|Рецептов]: винтовка Убийцы Драконов
Recipe[s]: Dragon Slayer Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр Убийцы Драконов
Recipe[s]: Dragon Slayer Shield,[Рецепт|Рецепта|Рецептов]: Щит Убийцы Драконов
Recipe[s]: Dragon Slayer Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий Лук Убийцы Драконов
Recipe[s]: Dragon Slayer Staff,[Рецепт|Рецепта|Рецептов]: Посох Убийцы Драконов
Recipe[s]: Dragon Slayer Sword,[Рецепт|Рецепта|Рецептов]: Меч Убийцы Драконов
Recipe[s]: Dragon Slayer Torch,[Рецепт|Рецепта|Рецептов]: Факел Убийцы Драконов
Recipe[s]: Dragon Slayer Warhorn,[Рецепт|Рецепта|Рецептов]: Боевой рог Убийцы Драконов
Recipe[s]: Dragon's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния дракона из паутинки
Recipe[s]: Dragon's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка дракона
Recipe[s]: Dragon's Revelry Starcake,[Рецепт|Рецепта|Рецептов]: звёздный Пирог Драконьего Веселья
Recipe[s]: Dragonsblood Axe,[Рецепт|Рецепта|Рецептов]: топор Драконьей Крови
Recipe[s]: Dragonsblood Dagger,[Рецепт|Рецепта|Рецептов]: кинжал Драконьей Крови
Recipe[s]: Dragonsblood Focus,[Рецепт|Рецепта|Рецептов]: Фокус Драконьей Крови
Recipe[s]: Dragonsblood Greatsword,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: двуручный меч
Recipe[s]: Dragonsblood Hammer,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: молот
Recipe[s]: Dragonsblood Longbow,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: длинный лук
Recipe[s]: Dragonsblood Mace,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: булава
Recipe[s]: Dragonsblood Pistol,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: пистолет
Recipe[s]: Dragonsblood Rifle,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: винтовка
Recipe[s]: Dragonsblood Scepter,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: скипетр
Recipe[s]: Dragonsblood Shield,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: щит
Recipe[s]: Dragonsblood Short Bow,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: короткий лук
Recipe[s]: Dragonsblood Staff,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: посох
Recipe[s]: Dragonsblood Sword,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: меч
Recipe[s]: Dragonsblood Torch,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: факел
Recipe[s]: Dragonsblood Warhorn,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: боевой рог
Recipe[s]: Drottot's Poached Eggs,"[Рецепт|Рецепта|Рецептов]: яйца, припущенные Дроттотом"
Recipe[s]: Dual Peaks (Level 55),[Рецепт|Рецепта|Рецептов]: двойная вершина (уровень 55)
Recipe[s]: Dun Targe (Level 20),[Рецепт|Рецепта|Рецептов]: щит «Дун» (20-го уровня)
Recipe[s]: Duty-Bound Bracers (Level 13),[Рецепт|Рецепта|Рецептов]: «Наручи долга» (13-й уровень)
Recipe[s]: Duty-Bound Bracers (Level 8),[Рецепт|Рецепта|Рецептов]: «Наручи долга» (8-й уровень)
Recipe[s]: Duty-Bound Brigandine (Level 13),[Рецепт|Рецепта|Рецептов]: «Бригантина долга» (13-й уровень)
Recipe[s]: Duty-Bound Brigandine (Level 8),[Рецепт|Рецепта|Рецептов]: «Бригантина долга» (8-й уровень)
Recipe[s]: Duty-Bound Domeplate (Level 13),[Рецепт|Рецепта|Рецептов]: «Наголовник долга» (13-й уровень)
Recipe[s]: Duty-Bound Domeplate (Level 8),[Рецепт|Рецепта|Рецептов]: «Наголовник долга» (8-й уровень)
Recipe[s]: Duty-Bound Duffers (Level 13),[Рецепт|Рецепта|Рецептов]: «Поножи долга» (13-й уровень)
