english,translate
Recipe[s]: Stormforged Rifle,[Рецепт|Рецепта|Рецептов]: винтовка Бурекованого
Recipe[s]: Stormforged Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр Бурекованого
Recipe[s]: Stormforged Shield,[Рецепт|Рецепта|Рецептов]: Щит Бурекованого
Recipe[s]: Stormforged Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук Бурекованого
Recipe[s]: Stormforged Staff,[Рецепт|Рецепта|Рецептов]: Посох Бурекованого
Recipe[s]: Stormforged Sword,[Рецепт|Рецепта|Рецептов]: Меч Бурекованого
Recipe[s]: Stormforged Torch,[Рецепт|Рецепта|Рецептов]: Факел Бурекованого
Recipe[s]: Stormforged Warhorn,[Рецепт|Рецепта|Рецептов]: Боевой рог Бурекованого
Recipe[s]: Strawberry Ghost,[Рецепт|Рецепта|Рецептов]: клубничный призрак
Recipe[s]: Strong Intricate Cotton Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния сильного из хлопка
Recipe[s]: Strong Intricate Wool Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния сильного из шерсти
Recipe[s]: Strong Iron Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная железная гравировка сильного
Recipe[s]: Strong Steel Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная стальная гравировка сильного
Recipe[s]: Stuffed Nopales,[Рецепт|Рецепта|Рецептов]: фаршированные нопалес
Recipe[s]: Sturdy Boreal Duffel,[Рецепт|Рецепта|Рецептов]: прочный бореальный вещмешок
Recipe[s]: Subtle Spyglass,[Рецепт|Рецепта|Рецептов]: незаметная подзорная труба
Recipe[s]: Sun Aspect Crystal,[Рецепт|Рецепта|Рецептов]: кристалл аспекта солнца
Recipe[s]: Sunset Amulet,[Рецепт|Рецепта|Рецептов]: амулет заката
Recipe[s]: Sunset Earring,[Рецепт|Рецепта|Рецептов]: серьга заката
Recipe[s]: Sunset Jewel,[Рецепт|Рецепта|Рецептов]: самоцвет заката
Recipe[s]: Sunset Ring,[Рецепт|Рецепта|Рецептов]: Кольцо заката
Recipe[s]: Sunspear Carver,[Рецепт|Рецепта|Рецептов]: тесак Солнечного копья
Recipe[s]: Sunspear Cutlass,[Рецепт|Рецепта|Рецептов]: абордажная сабля Солнечного копья
Recipe[s]: Sunspear Firelight,[Рецепт|Рецепта|Рецептов]: Огненный свет Солнечного копья
Recipe[s]: Sunspear Greatblade,[Рецепт|Рецепта|Рецептов]: Великий клинок Солнечного копья
Recipe[s]: Sunspear Horn,[Рецепт|Рецепта|Рецептов]: Рог Солнечного копья
Recipe[s]: Sunspear Matchlock,[Рецепт|Рецепта|Рецептов]: фитильный замок Солнечного копья
Recipe[s]: Sunspear Pocketbow,[Рецепт|Рецепта|Рецептов]: Карманный лук Солнечного копья
Recipe[s]: Sunspear Recurve,[Рецепт|Рецепта|Рецептов]: изогнутый лук Солнечного копья
Recipe[s]: Sunspear Rod,[Рецепт|Рецепта|Рецептов]: жезл Солнечного копья
Recipe[s]: Sunspear Runestone,[Рецепт|Рецепта|Рецептов]: рунический камень Солнечного копья
Recipe[s]: Sunspear Sidearm,[Рецепт|Рецепта|Рецептов]: боковое оружие Солнечного копья
Recipe[s]: Sunspear Smasher,[Рецепт|Рецепта|Рецептов]: Крушитель Солнечного копья
Recipe[s]: Sunspear Standard,[Рецепт|Рецепта|Рецептов]: штандарт Солнечного копья
Recipe[s]: Sunspear Thrasher,[Рецепт|Рецепта|Рецептов]: Молотильщик Солнечного копья
Recipe[s]: Sunspear Wallshield,[Рецепт|Рецепта|Рецептов]: стенной щит Солнечного копья
Recipe[s]: Sunspear Warsickle,[Рецепт|Рецепта|Рецептов]: Боевой серп Солнечного копья
Recipe[s]: Super Bridge Plank,[Рецепт|Рецепта|Рецептов]: Супер мостовая доска
Recipe[s]: Super Mixed Parfait,[Рецепт|Рецепта|Рецептов]: Супер смешанное парфе
Recipe[s]: Super Rapids Flowing Water,[Рецепт|Рецепта|Рецептов]: Супер быстрые потоки воды
Recipe[s]: Super Rapids Pillar,[Рецепт|Рецепта|Рецептов]: Супер быстрый столб порогов
Recipe[s]: Super Rapids Plateau,[Рецепт|Рецепта|Рецептов]: Супер быстрое плато порогов
Recipe[s]: Super Sharpening Polygon,[Рецепт|Рецепта|Рецептов]: Супер точильный полигон
Recipe[s]: Superior Rune of Antitoxin,[Рецепт|Рецепта|Рецептов]: высшая руна антитоксина
Recipe[s]: Superior Rune of Evasion,[Рецепт: высшая руна уклонения|Рецепты: высшие руны уклонения|Рецептов: высших рун уклонения]
Recipe[s]: Superior Rune of Exuberance,[Рецепт|Рецепта|Рецептов]: высшая руна изобилия
Recipe[s]: Superior Rune of Nature's Bounty,[Рецепт|Рецепта|Рецептов]: высшая руна щедрости природы
Recipe[s]: Superior Rune of Perplexity,[Рецепт|Рецепта|Рецептов]: высшая руна недоумения
Recipe[s]: Superior Rune of Radiance,[Рецепт: высшая руна сияния|Рецепты: высшие руны сияния|Рецептов: высших рун сияния]
Recipe[s]: Superior Rune of Resistance,[Рецепт|Рецепта|Рецептов]: высшая руна сопротивления
Recipe[s]: Superior Rune of the Berserker,[Рецепт|Рецепта|Рецептов]: высшая руна берсерка
Recipe[s]: Superior Rune of the Chronomancer,[Рецепт|Рецепта|Рецептов]: высшая руна хрономанта
Recipe[s]: Superior Rune of the Daredevil,[Рецепт|Рецепта|Рецептов]: высшая руна смельчака
Recipe[s]: Superior Rune of the Deadeye,[Рецепт|Рецепта|Рецептов]: высшая руна меткого стрелка
Recipe[s]: Superior Rune of the Defender,[Рецепт|Рецепта|Рецептов]: высшая руна защитника
Recipe[s]: Superior Rune of the Dragonhunter,[Рецепт|Рецепта|Рецептов]: высшая руна драконоохотника
Recipe[s]: Superior Rune of the Druid,[Рецепт|Рецепта|Рецептов]: высшая руна друида
Recipe[s]: Superior Rune of the Firebrand,[Рецепт|Рецепта|Рецептов]: высшая руна поджигателя
Recipe[s]: Superior Rune of the Herald,[Рецепт|Рецепта|Рецептов]: высшая руна вестника
Recipe[s]: Superior Rune of the Holosmith,[Рецепт|Рецепта|Рецептов]: высшая руна голосмита
Recipe[s]: Superior Rune of the Mad King,[Рецепт|Рецепта|Рецептов]: высшая руна безумного короля
Recipe[s]: Superior Rune of the Mirage,[Рецепт|Рецепта|Рецептов]: высшая руна миража
Recipe[s]: Superior Rune of the Reaper,[Рецепт|Рецепта|Рецептов]: высшая руна жнеца
Recipe[s]: Superior Rune of the Renegade,[Рецепт|Рецепта|Рецептов]: высшая руна ренегата
Recipe[s]: Superior Rune of the Scourge,[Рецепт|Рецепта|Рецептов]: высшая руна бича
Recipe[s]: Superior Rune of the Scrapper,[Рецепт|Рецепта|Рецептов]: высшая руна скраппера
Recipe[s]: Superior Rune of the Soulbeast,[Рецепт|Рецепта|Рецептов]: высшая руна душезверя
Recipe[s]: Superior Rune of the Spellbreaker,[Рецепт|Рецепта|Рецептов]: высшая руна разрушителя чар
Recipe[s]: Superior Rune of the Stars,[Рецепт|Рецепта|Рецептов]: высшая руна звёзд
Recipe[s]: Superior Rune of the Tempest,[Рецепт|Рецепта|Рецептов]: высшая руна Бури
Recipe[s]: Superior Rune of the Trapper,[Рецепт: высшая руна ловца|Рецепты: высшие руны ловца|Рецептов: высших рун ловца]
Recipe[s]: Superior Rune of the Weaver,[Рецепт|Рецепта|Рецептов]: высшая руна Ткача
Recipe[s]: Superior Rune of Tormenting,[Рецепт|Рецепта|Рецептов]: высшая руна мучения
Recipe[s]: Superior Sigil of Blight,[Рецепт|Рецепта|Рецептов]: высший сигил Проклятия
Recipe[s]: Superior Sigil of Bounty,[Рецепт|Рецепта|Рецептов]: высший сигил Изобилия
Recipe[s]: Superior Sigil of Bursting,[Рецепт|Рецепта|Рецептов]: высший сигил Взрыва
Recipe[s]: Superior Sigil of Cleansing,[Рецепт: высший сигил очищения|Рецепты: высшие сигилы очищения|Рецептов: высших сигилов очищения]
Recipe[s]: Superior Sigil of Cruelty,[Рецепт: высший сигил жестокости|Рецепты: высшие сигилы жестокости|Рецептов: высших сигилов жестокости]
Recipe[s]: Superior Sigil of Incapacitation,[Рецепт: высший сигил обездвиживания|Рецепты: высшие сигилы обездвиживания|Рецептов: высших сигилов обездвиживания]
Recipe[s]: Superior Sigil of Malice,[Рецепт|Рецепта|Рецептов]: высший сигил Злобы
Recipe[s]: Superior Sigil of Momentum,[Рецепт|Рецепта|Рецептов]: высший сигил Импульса
Recipe[s]: Superior Sigil of Renewal,[Рецепт|Рецепта|Рецептов]: высший сигил Обновления
Recipe[s]: Superior Sigil of the Night,[Рецепт|Рецепта|Рецептов]: высший сигил Ночи
Recipe[s]: Superior Sigil of the Stars,[Рецепт|Рецепта|Рецептов]: высший сигил Звёзд
Recipe[s]: Superior Sigil of Torment,[Рецепт|Рецепта|Рецептов]: высший сигил Мучения
Recipe[s]: Supplejack (Level 13),[Рецепт|Рецепта|Рецептов]: гибкий Джек (Уровень 13)
Recipe[s]: Supplejack (Level 8),[Рецепт|Рецепта|Рецептов]: гибкий Джек (Уровень 8)
Recipe[s]: Suun's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Суун
Recipe[s]: Suun's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Суун
Recipe[s]: Suun's Blade,[Рецепт|Рецепта|Рецептов]: клинок Суун
Recipe[s]: Suun's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Суун
Recipe[s]: Suun's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Суун
Recipe[s]: Suun's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Суун
Recipe[s]: Suun's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Суун
Recipe[s]: Suun's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Суун
Recipe[s]: Suun's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Суун
Recipe[s]: Suun's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Суун
Recipe[s]: Suun's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Суун
Recipe[s]: Suun's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Суун
Recipe[s]: Suun's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Суун
Recipe[s]: Suun's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Суун
Recipe[s]: Suun's Guise,[Рецепт|Рецепта|Рецептов]: облик Суун
Recipe[s]: Suun's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Суун
Recipe[s]: Suun's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Суун
Recipe[s]: Suun's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Суун
Recipe[s]: Suun's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка Суун
Recipe[s]: Suun's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния Суун
Recipe[s]: Suun's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Суун
Recipe[s]: Suun's Masque,[Рецепт|Рецепта|Рецептов]: маска Суун
Recipe[s]: Suun's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Суун
Recipe[s]: Suun's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Суун
Recipe[s]: Suun's Razor,[Рецепт|Рецепта|Рецептов]: бритва Суун
Recipe[s]: Suun's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Суун
Recipe[s]: Suun's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Суун
Recipe[s]: Suun's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Суун
Recipe[s]: Suun's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Суун
Recipe[s]: Suun's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Суун
Recipe[s]: Suun's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Суун
Recipe[s]: Suun's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Суун
Recipe[s]: Suun's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Суун
Recipe[s]: Suun's Visage,[Рецепт|Рецепта|Рецептов]: лик Суун
Recipe[s]: Suun's Visor,[Рецепт|Рецепта|Рецептов]: забрало Суун
Recipe[s]: Suun's Wand,[Рецепт|Рецепта|Рецептов]: жезл Суун
Recipe[s]: Suun's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Суун
Recipe[s]: Suun's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Суун
Recipe[s]: Suun's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Суун
Recipe[s]: Svaard's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Сваарда
Recipe[s]: Svaard's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Сваарда
Recipe[s]: Svaard's Blade,[Рецепт|Рецепта|Рецептов]: клинок Сваарда
Recipe[s]: Svaard's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Сваарда
Recipe[s]: Svaard's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Сваарда
Recipe[s]: Svaard's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Сваарда
Recipe[s]: Svaard's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Сваарда
Recipe[s]: Svaard's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Сваарда
Recipe[s]: Svaard's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Сваарда
Recipe[s]: Svaard's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Сваарда
Recipe[s]: Svaard's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Сваарда
Recipe[s]: Svaard's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Сваарда
Recipe[s]: Svaard's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Сваарда
Recipe[s]: Svaard's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Сваарда
Recipe[s]: Svaard's Guise,[Рецепт|Рецепта|Рецептов]: облик Сваарда
Recipe[s]: Svaard's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Сваарда
Recipe[s]: Svaard's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Сваарда
Recipe[s]: Svaard's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Сваарда
Recipe[s]: Svaard's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Сваарда
Recipe[s]: Svaard's Marauder Inscription,[Рецепт|Рецепта|Рецептов]: гравировка мародёра Сваарда
Recipe[s]: Svaard's Marauder Insignia,[Рецепт|Рецепта|Рецептов]: инсигния мародёра Сваарда
Recipe[s]: Svaard's Masque,[Рецепт|Рецепта|Рецептов]: маска Сваарда
Recipe[s]: Svaard's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Сваарда
Recipe[s]: Svaard's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Сваарда
Recipe[s]: Svaard's Razor,[Рецепт|Рецепта|Рецептов]: бритва Сваарда
Recipe[s]: Svaard's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Сваарда
Recipe[s]: Svaard's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Сваарда
Recipe[s]: Svaard's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Сваарда
Recipe[s]: Svaard's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Сваарда
Recipe[s]: Svaard's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Сваарда
Recipe[s]: Svaard's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Сваарда
Recipe[s]: Svaard's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Сваарда
Recipe[s]: Svaard's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Сваарда
Recipe[s]: Svaard's Visage,[Рецепт|Рецепта|Рецептов]: лик Сваарда
Recipe[s]: Svaard's Visor,[Рецепт|Рецепта|Рецептов]: забрало Сваарда
Recipe[s]: Svaard's Wand,[Рецепт|Рецепта|Рецептов]: жезл Сваарда
Recipe[s]: Svaard's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Сваарда
Recipe[s]: Svaard's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Сваарда
Recipe[s]: Svaard's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Сваарда
Recipe[s]: Sweet and Spicy Beans,[Рецепт|Рецепта|Рецептов]: сладкие и острые бобы
Recipe[s]: Sweet Curried Mussels,[Рецепт|Рецепта|Рецептов]: сладкие мидии с карри
Recipe[s]: Swelter's Gait (Level 55),[Рецепт|Рецепта|Рецептов]: поступь Знойного (55-й уровень)
Recipe[s]: Sweptweave Rifle,[Рецепт|Рецепта|Рецептов]: винтовка «Сметённое плетение»
Recipe[s]: Swiftly Scrambled Eggs,[Рецепт|Рецепта|Рецептов]: Быстро взбитые яйца
Recipe[s]: Sword,[Рецепт|Рецепта|Рецептов]: Меч
Recipe[s]: Tally Reckoner (Level 13),[Рецепт|Рецепта|Рецептов]: счётчик-учётчик (13-й уровень)
Recipe[s]: Tally Reckoner (Level 8),[Рецепт|Рецепта|Рецептов]: счётчик-учётчик (8-й уровень)
Recipe[s]: Tasty Wurm Stew,[Рецепт|Рецепта|Рецептов]: вкусное рагу из вурма
Recipe[s]: Tateos's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Татеоса
Recipe[s]: Tateos's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Татеоса
Recipe[s]: Tateos's Cleric Insignia,[Рецепт|Рецепта|Рецептов]: инсигния клирика Татеоса
Recipe[s]: Tateos's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Татеоса
Recipe[s]: Tateos's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Татеоса
Recipe[s]: Tateos's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Татеоса
Recipe[s]: Tateos's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Татеоса
Recipe[s]: Tateos's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Татеоса
Recipe[s]: Tateos's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Татеоса
Recipe[s]: Tateos's Guise,[Рецепт|Рецепта|Рецептов]: облик Татеоса
Recipe[s]: Tateos's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Татеоса
Recipe[s]: Tateos's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Татеоса
Recipe[s]: Tateos's Masque,[Рецепт|Рецепта|Рецептов]: маска Татеоса
Recipe[s]: Tateos's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Татеоса
Recipe[s]: Tateos's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Татеоса
Recipe[s]: Tateos's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Татеоса
Recipe[s]: Tateos's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Татеоса
Recipe[s]: Tateos's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Татеоса
Recipe[s]: Tateos's Visage,[Рецепт|Рецепта|Рецептов]: лик Татеоса
Recipe[s]: Tateos's Visor,[Рецепт|Рецепта|Рецептов]: забрало Татеоса
Recipe[s]: Tateos's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Татеоса
Recipe[s]: Tateos's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Татеоса
Recipe[s]: Teleporter Entrance,[Рецепт|Рецепта|Рецептов]: Вход телепортера
Recipe[s]: Teleporter Exit,[Рецепт|Рецепта|Рецептов]: Выход телепортера
Recipe[s]: Tendril of Terror (Level 71),[Рецепт|Рецепта|Рецептов]: щупальце ужаса (Уровень 71)
Recipe[s]: Tengu Axe,[Рецепт|Рецепта|Рецептов]: топор тенгу
Recipe[s]: Tengu Blade,[Рецепт|Рецепта|Рецептов]: Клинок тенгу
Recipe[s]: Tengu Dagger,[Рецепт|Рецепта|Рецептов]: кинжал тенгу
Recipe[s]: Tengu Focus,[Рецепт|Рецепта|Рецептов]: Фокус тенгу
Recipe[s]: Tengu Greatsword,[Рецепт|Рецепта|Рецептов]: двуручный меч тенгу
Recipe[s]: Tengu Hammer,[Рецепт|Рецепта|Рецептов]: Молот тенгу
Recipe[s]: Tengu Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук тенгу
Recipe[s]: Tengu Mace,[Рецепт|Рецепта|Рецептов]: булава тенгу
Recipe[s]: Tengu Pistol,[Рецепт|Рецепта|Рецептов]: пистолет тенгу
Recipe[s]: Tengu Rifle,[Рецепт|Рецепта|Рецептов]: винтовка тенгу
Recipe[s]: Tengu Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр тэнгу
Recipe[s]: Tengu Shield,[Рецепт|Рецепта|Рецептов]: Щит тэнгу
Recipe[s]: Tengu Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук тэнгу
Recipe[s]: Tengu Staff,[Рецепт|Рецепта|Рецептов]: Посох тэнгу
Recipe[s]: Tengu Sword,[Рецепт|Рецепта|Рецептов]: Меч тэнгу
Recipe[s]: Tengu Torch,[Рецепт|Рецепта|Рецептов]: Факел тэнгу
Recipe[s]: Tengu Warhorn,[Рецепт|Рецепта|Рецептов]: Боевой рог тенгу
Recipe[s]: Tequatl Tailbone,[Рецепт|Рецепта|Рецептов]: хвостовая кость Текватла
Recipe[s]: Thackeray's Barbute,[Рецепт|Рецепта|Рецептов]: барбют Теккерея
Recipe[s]: Thackeray's Boots,[Рецепт|Рецепта|Рецептов]: сапоги Теккерея
Recipe[s]: Thackeray's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник Теккерея
Recipe[s]: Thackeray's Bugle,[Рецепт|Рецепта|Рецептов]: Горн Теккерея
Recipe[s]: Thackeray's Bulwark,[Рецепт|Рецепта|Рецептов]: Бастион Теккерея
Recipe[s]: Thackeray's Cleaver,[Рецепт|Рецепта|Рецептов]: тесак Теккерея
Recipe[s]: Thackeray's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Теккерея
Recipe[s]: Thackeray's Crescent,[Рецепт|Рецепта|Рецептов]: полумесяц Такерея
Recipe[s]: Thackeray's Crusader,[Рецепт|Рецепта|Рецептов]: Крестоносец Такерея
Recipe[s]: Thackeray's Crusher,[Рецепт|Рецепта|Рецептов]: дробитель Такерея
Recipe[s]: Thackeray's Cuirass,[Рецепт|Рецепта|Рецептов]: кираса Такерея
Recipe[s]: Thackeray's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Такерея
Recipe[s]: Thackeray's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Такерея
Recipe[s]: Thackeray's Flame,[Рецепт|Рецепта|Рецептов]: Пламя Такерея
Recipe[s]: Thackeray's Focus,[Рецепт|Рецепта|Рецептов]: Фокус Такерея
Recipe[s]: Thackeray's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Такерея
Recipe[s]: Thackeray's Gauntlets,[Рецепт|Рецепта|Рецептов]: рукавицы Такерея
Recipe[s]: Thackeray's Gavel,[Рецепт|Рецепта|Рецептов]: молоток Такерея
Recipe[s]: Thackeray's Gladius,[Рецепт|Рецепта|Рецептов]: гладиус Такерея
Recipe[s]: Thackeray's Gloves,[Рецепт|Рецепта|Рецептов]: перчатки Такерея
Recipe[s]: Thackeray's Greatbow,[Рецепт|Рецепта|Рецептов]: Большой лук Такерея
Recipe[s]: Thackeray's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Такерея
Recipe[s]: Thackeray's Handcannon,[Рецепт|Рецепта|Рецептов]: ручная пушка Теккерея
Recipe[s]: Thackeray's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Теккерея
Recipe[s]: Thackeray's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Теккерея
Recipe[s]: Thackeray's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Теккерея
Recipe[s]: Thackeray's Masque,[Рецепт|Рецепта|Рецептов]: маска Теккерея
Recipe[s]: Thackeray's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Теккерея
Recipe[s]: Thackeray's Pants,[Рецепт|Рецепта|Рецептов]: Штаны Теккерея
Recipe[s]: Thackeray's Pauldrons,[Рецепт|Рецепта|Рецептов]: Наплечники Теккерея
Recipe[s]: Thackeray's Pillar,[Рецепт|Рецепта|Рецептов]: столб Теккерея
Recipe[s]: Thackeray's Rifle,[Рецепт|Рецепта|Рецептов]: винтовка Теккерея
Recipe[s]: Thackeray's Rod,[Рецепт|Рецепта|Рецептов]: жезл Теккерея
Recipe[s]: Thackeray's Seraph Inscription,[Рецепт|Рецепта|Рецептов]: гравировка Серафима Такерея
Recipe[s]: Thackeray's Seraph Insignia,[Рецепт|Рецепта|Рецептов]: инсигния Серафима Такерея
Recipe[s]: Thackeray's Shoulderguard,[Рецепт|Рецепта|Рецептов]: наплечник Теккерея
Recipe[s]: Thackeray's Skewer,[Рецепт|Рецепта|Рецептов]: вертел Теккерея
Recipe[s]: Thackeray's Slicer,[Рецепт|Рецепта|Рецептов]: Резак Теккерея
Recipe[s]: Thackeray's Spire,[Рецепт|Рецепта|Рецептов]: Шпиль Теккерея
Recipe[s]: Thackeray's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Теккерея
Recipe[s]: Thackeray's Vambraces,[Рецепт|Рецепта|Рецептов]: наручи Теккерея
Recipe[s]: Thackeray's Visage,[Рецепт|Рецепта|Рецептов]: лик Теккерея
Recipe[s]: The True Name,[Рецепт|Рецепта|Рецептов]: истинное имя
