english,translate
Recipe[s]: Vigorous Intricate Cotton Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния бодрого из хлопка
Recipe[s]: Vigorous Intricate Wool Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния бодрого из шерсти
Recipe[s]: Vigorous Iron Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная железная гравировка бодрого
Recipe[s]: Vigorous Steel Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная стальная гравировка бодрого
Recipe[s]: Vile Jar,[Рецепт|Рецепта|Рецептов]: мерзкая банка
Recipe[s]: Viper's Draconic Boots,[Рецепт|Рецепта|Рецептов]: драконьи сапоги гадюки
Recipe[s]: Viper's Draconic Coat,[Рецепт|Рецепта|Рецептов]: драконья куртка гадюки
Recipe[s]: Viper's Draconic Gauntlets,[Рецепт|Рецепта|Рецептов]: драконьи латные перчатки гадюки
Recipe[s]: Viper's Draconic Helm,[Рецепт|Рецепта|Рецептов]: драконий шлем гадюки
Recipe[s]: Viper's Draconic Legs,[Рецепт|Рецепта|Рецептов]: драконьи поножи гадюки
Recipe[s]: Viper's Draconic Pauldrons,[Рецепт|Рецепта|Рецептов]: драконьи наплечники гадюки
Recipe[s]: Viper's Emblazoned Boots,[Рецепт|Рецепта|Рецептов]: расписные сапоги гадюки
Recipe[s]: Viper's Emblazoned Coat,[Рецепт|Рецепта|Рецептов]: расписная куртка гадюки
Recipe[s]: Viper's Emblazoned Gloves,[Рецепт|Рецепта|Рецептов]: расписные перчатки гадюки
Recipe[s]: Viper's Emblazoned Helm,[Рецепт|Рецепта|Рецептов]: расписной шлем гадюки
Recipe[s]: Viper's Emblazoned Pants,[Рецепт|Рецепта|Рецептов]: расписные штаны гадюки
Recipe[s]: Viper's Emblazoned Shoulders,[Рецепт|Рецепта|Рецептов]: расписные наплечники гадюки
Recipe[s]: Viper's Exalted Boots,[Рецепт|Рецепта|Рецептов]: возвышенные сапоги гадюки
Recipe[s]: Viper's Exalted Coat,[Рецепт|Рецепта|Рецептов]: возвышенная куртка гадюки
Recipe[s]: Viper's Exalted Gloves,[Рецепт|Рецепта|Рецептов]: возвышенные перчатки гадюки
Recipe[s]: Viper's Exalted Mantle,[Рецепт|Рецепта|Рецептов]: возвышенная мантия гадюки
Recipe[s]: Viper's Exalted Masque,[Рецепт|Рецепта|Рецептов]: возвышенная маска гадюки
Recipe[s]: Viper's Exalted Pants,[Рецепт|Рецепта|Рецептов]: возвышенные штаны гадюки
Recipe[s]: Viper's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния гадюки из паутинки
Recipe[s]: Viper's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка гадюки
Recipe[s]: Viper's Pearl Bludgeoner,[Рецепт|Рецепта|Рецептов]: жемчужная дубина гадюки
Recipe[s]: Viper's Pearl Blunderbuss,[Рецепт|Рецепта|Рецептов]: жемчужный мушкетон гадюки
Recipe[s]: Viper's Pearl Brazier,[Рецепт|Рецепта|Рецептов]: жемчужная жаровня гадюки
Recipe[s]: Viper's Pearl Broadsword,[Рецепт|Рецепта|Рецептов]: жемчужный палаш гадюки
Recipe[s]: Viper's Pearl Carver,[Рецепт|Рецепта|Рецептов]: жемчужный резак гадюки
Recipe[s]: Viper's Pearl Conch,[Рецепт|Рецепта|Рецептов]: жемчужная раковина гадюки
Recipe[s]: Viper's Pearl Crusher,[Рецепт|Рецепта|Рецептов]: жемчужный крушитель гадюки
Recipe[s]: Viper's Pearl Handcannon,[Рецепт|Рецепта|Рецептов]: жемчужная ручная пушка гадюки
Recipe[s]: Viper's Pearl Impaler,[Рецепт|Рецепта|Рецептов]: жемчужный пронзатель гадюки
Recipe[s]: Viper's Pearl Needler,[Рецепт|Рецепта|Рецептов]: жемчужный игломёт гадюки
Recipe[s]: Viper's Pearl Quarterstaff,[Рецепт|Рецепта|Рецептов]: жемчужный посох гадюки
Recipe[s]: Viper's Pearl Reaver,[Рецепт|Рецепта|Рецептов]: жемчужный жнец гадюки
Recipe[s]: Viper's Pearl Rod,[Рецепт|Рецепта|Рецептов]: жемчужный жезл гадюки
Recipe[s]: Viper's Pearl Sabre,[Рецепт|Рецепта|Рецептов]: жемчужная сабля гадюки
Recipe[s]: Viper's Pearl Shell,[Рецепт|Рецепта|Рецептов]: жемчужная ракушка гадюки
Recipe[s]: Viper's Pearl Siren,[Рецепт|Рецепта|Рецептов]: жемчужная сирена гадюки
Recipe[s]: Viper's Pearl Speargun,[Рецепт|Рецепта|Рецептов]: жемчужное копьеружьё гадюки
Recipe[s]: Viper's Pearl Stinger,[Рецепт|Рецепта|Рецептов]: жемчужное жало гадюки
Recipe[s]: Viper's Pearl Trident,[Рецепт|Рецепта|Рецептов]: жемчужный трезубец гадюки
Recipe[s]: Visiospei,[Рецепт|Рецепта|Рецептов]: Визиоспий
Recipe[s]: Vizier's Folly,[Рецепт|Рецепта|Рецептов]: причуда визиря
Recipe[s]: Wanderer's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния странника из паутинки
Recipe[s]: Wanderer's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка странника
Recipe[s]: Warden Rations,[Рецепт|Рецепта|Рецептов]: паёк стража
Recipe[s]: Warhorn,[Рецепт|Рецепта|Рецептов]: боевой рог
Recipe[s]: Waring's Regulator (Level 8),[Рецепт|Рецепта|Рецептов]: регулятор Варинга (уровень 8)
Recipe[s]: Warming Stone,[Рецепт|Рецепта|Рецептов]: греющий камень
Recipe[s]: Watchwork Mechanism,[Рецепт|Рецепта|Рецептов]: часовой механизм
Recipe[s]: Watchwork Portal Device,[Рецепт|Рецепта|Рецептов]: часовое портальное устройство
Recipe[s]: Water Filter,[Рецепт|Рецепта|Рецептов]: водяной фильтр
Recipe[s]: Weftwand (Level 13),[Рецепт|Рецепта|Рецептов]: вефтванд (уровень 13)
Recipe[s]: Weftwand (Level 8),[Рецепт|Рецепта|Рецептов]: вефтванд (уровень 8)
Recipe[s]: Wei Qi's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Вэй Ци
Recipe[s]: Wei Qi's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Вэй Ци
Recipe[s]: Wei Qi's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Вэй Ци
Recipe[s]: Wei Qi's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Вэй Ци
Recipe[s]: Wei Qi's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Вэй Ци
Recipe[s]: Wei Qi's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Вэй Ци
Recipe[s]: Wei Qi's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Вэй Ци
Recipe[s]: Wei Qi's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Вэй Ци
Recipe[s]: Wei Qi's Guise,[Рецепт|Рецепта|Рецептов]: облик Вэй Ци
Recipe[s]: Wei Qi's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Вэй Ци
Recipe[s]: Wei Qi's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Вэй Ци
Recipe[s]: Wei Qi's Masque,[Рецепт|Рецепта|Рецептов]: маска Вэй Ци
Recipe[s]: Wei Qi's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Вэй Ци
Recipe[s]: Wei Qi's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Вэй Ци
Recipe[s]: Wei Qi's Sentinel Insignia,[Рецепт|Рецепта|Рецептов]: инсигния часового Вэй Ци
Recipe[s]: Wei Qi's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Вэй Ци
Recipe[s]: Wei Qi's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Вэй Ци
Recipe[s]: Wei Qi's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Вэй Ци
Recipe[s]: Wei Qi's Visage,[Рецепт|Рецепта|Рецептов]: лик Вэй Ци
Recipe[s]: Wei Qi's Visor,[Рецепт|Рецепта|Рецептов]: забрало Вэй Ци
Recipe[s]: Wei Qi's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Вэй Ци
Recipe[s]: Wei Qi's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Вэй Ци
Recipe[s]: White Mantle Abomination Crystal,[Рецепт|Рецепта|Рецептов]: кристалл мерзости Белой Мантии
Recipe[s]: White Mantle Statue,[Рецепт|Рецепта|Рецептов]: статуя Белой Мантии
Recipe[s]: White Mantle Turret,[Рецепт|Рецепта|Рецептов]: турель Белой Мантии
Recipe[s]: Wind Aspect Crystal,[Рецепт|Рецепта|Рецептов]: кристалл аспекта ветра
Recipe[s]: Winterberry Pie,[Рецепт|Рецепта|Рецептов]: пирог с зимней ягодой
Recipe[s]: Winterberry Seaweed Salad,[Рецепт|Рецепта|Рецептов]: салат из водорослей с зимней ягодой
Recipe[s]: Winterberry Sorbet,[Рецепт|Рецепта|Рецептов]: сорбет из зимней ягоды
Recipe[s]: Witherbreeches (Level 20),[Рецепт|Рецепта|Рецептов]: иссохшие штаны (уровень 20)
Recipe[s]: Witherbreeches (Level 31),[Рецепт|Рецепта|Рецептов]: иссохшие штаны (уровень 31)
Recipe[s]: Wolf Statue,[Рецепт|Рецепта|Рецептов]: статуя волка
Recipe[s]: Wolf Totem,[Рецепт|Рецепта|Рецептов]: тотем волка
Recipe[s]: Wrangler's Bag,[Рецепт|Рецепта|Рецептов]: сумка погонщика
Recipe[s]: Wupwup Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Вупвупа
Recipe[s]: Wupwup Bastion,[Рецепт|Рецепта|Рецептов]: бастион Вупвупа
Recipe[s]: Wupwup Blade,[Рецепт|Рецепта|Рецептов]: клинок Вупвупа
Recipe[s]: Wupwup Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Вупвупа
Recipe[s]: Wupwup Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Вупвупа
Recipe[s]: Wupwup Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Вупвупа
Recipe[s]: Wupwup Celestial Inscription,[Рецепт|Рецепта|Рецептов]: небесная гравировка Вупвупа
Recipe[s]: Wupwup Celestial Insignia,[Рецепт|Рецепта|Рецептов]: небесная инсигния Вупвупа
Recipe[s]: Wupwup Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Вупвупа
Recipe[s]: Wupwup Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Вупвупа
Recipe[s]: Wupwup Doublet,[Рецепт|Рецепта|Рецептов]: дублет Вупвупа
Recipe[s]: Wupwup Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Вупвупа
Recipe[s]: Wupwup Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Вупвупа
Recipe[s]: Wupwup Footwear,[Рецепт|Рецепта|Рецептов]: обувь Вупвупа
Recipe[s]: Wupwup Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Вупвупа
Recipe[s]: Wupwup Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Вупвупа
Recipe[s]: Wupwup Grips,[Рецепт|Рецепта|Рецептов]: перчатки Вупвупа
Recipe[s]: Wupwup Guise,[Рецепт|Рецепта|Рецептов]: облик Вупвупа
Recipe[s]: Wupwup Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Вупвупа
Recipe[s]: Wupwup Herald,[Рецепт|Рецепта|Рецептов]: глашатай Вупвупа
Recipe[s]: Wupwup Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Вупвупа
Recipe[s]: Wupwup Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Вупвупа
Recipe[s]: Wupwup Leggings,[Рецепт|Рецепта|Рецептов]: поножи Вупвупа
Recipe[s]: Wupwup Masque,[Рецепт|Рецепта|Рецептов]: маска Вупвупа
Recipe[s]: Wupwup Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Вупвупа
Recipe[s]: Wupwup Musket,[Рецепт|Рецепта|Рецептов]: мушкет Вупвупа
Recipe[s]: Wupwup Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Вупвупа
Recipe[s]: Wupwup Razor,[Рецепт|Рецепта|Рецептов]: бритва Вупвупа
Recipe[s]: Wupwup Reaver,[Рецепт|Рецепта|Рецептов]: жнец Вупвупа
Recipe[s]: Wupwup Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Вупвупа
Recipe[s]: Wupwup Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Вупвупа
Recipe[s]: Wupwup Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Вупвупа
Recipe[s]: Wupwup Spire,[Рецепт|Рецепта|Рецептов]: шпиль Вупвупа
Recipe[s]: Wupwup Striders,[Рецепт|Рецепта|Рецептов]: скороходы Вупвупа
Recipe[s]: Wupwup Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Вупвупа
Recipe[s]: Wupwup Trident,[Рецепт|Рецепта|Рецептов]: трезубец Вупвупа
Recipe[s]: Wupwup Visage,[Рецепт|Рецепта|Рецептов]: лик Вупвупа
Recipe[s]: Wupwup Visor,[Рецепт|Рецепта|Рецептов]: забрало Вупвупа
Recipe[s]: Wupwup Wand,[Рецепт|Рецепта|Рецептов]: жезл Вупвупа
Recipe[s]: Wupwup Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Вупвупа
Recipe[s]: Wupwup Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Вупвупа
Recipe[s]: Wupwup Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Вупвупа
Recipe[s]: Wyldwyng (Level 71),[Рецепт|Рецепта|Рецептов]: Дикокрыл (уровень 71)
Recipe[s]: Xera's Ribbon Scrap,[Рецепт|Рецепта|Рецептов]: обрывок ленты Ксеры
Recipe[s]: Yassith's Viper's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка гадюки Яссита
Recipe[s]: Yassith's Viper's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния гадюки Яссита
Recipe[s]: Yew Rod (Level 20),[Рецепт|Рецепта|Рецептов]: тисовый жезл (уровень 20)
Recipe[s]: Zealot's Draconic Boots,[Рецепт|Рецепта|Рецептов]: драконьи сапоги фанатика
Recipe[s]: Zealot's Draconic Coat,[Рецепт|Рецепта|Рецептов]: драконья куртка фанатика
Recipe[s]: Zealot's Draconic Gauntlets,[Рецепт|Рецепта|Рецептов]: драконьи латные перчатки фанатика
Recipe[s]: Zealot's Draconic Helm,[Рецепт|Рецепта|Рецептов]: драконий шлем фанатика
Recipe[s]: Zealot's Draconic Legs,[Рецепт|Рецепта|Рецептов]: драконьи поножи фанатика
Recipe[s]: Zealot's Draconic Pauldrons,[Рецепт|Рецепта|Рецептов]: драконьи наплечники фанатика
Recipe[s]: Zealot's Emblazoned Boots,[Рецепт|Рецепта|Рецептов]: расписные сапоги фанатика
Recipe[s]: Zealot's Emblazoned Coat,[Рецепт|Рецепта|Рецептов]: расписная куртка фанатика
Recipe[s]: Zealot's Emblazoned Gloves,[Рецепт|Рецепта|Рецептов]: расписные перчатки фанатика
Recipe[s]: Zealot's Emblazoned Helm,[Рецепт|Рецепта|Рецептов]: расписной шлем фанатика
Recipe[s]: Zealot's Emblazoned Pants,[Рецепт|Рецепта|Рецептов]: расписные штаны фанатика
Recipe[s]: Zealot's Emblazoned Shoulders,[Рецепт|Рецепта|Рецептов]: расписные наплечники фанатика
Recipe[s]: Zealot's Exalted Boots,[Рецепт|Рецепта|Рецептов]: возвышенные сапоги фанатика
Recipe[s]: Zealot's Exalted Coat,[Рецепт|Рецепта|Рецептов]: возвышенная куртка фанатика
Recipe[s]: Zealot's Exalted Gloves,[Рецепт|Рецепта|Рецептов]: возвышенные перчатки фанатика
Recipe[s]: Zealot's Exalted Mantle,[Рецепт|Рецепта|Рецептов]: возвышенная мантия фанатика
Recipe[s]: Zealot's Exalted Masque,[Рецепт|Рецепта|Рецептов]: возвышенная маска фанатика
Recipe[s]: Zealot's Exalted Pants,[Рецепт|Рецепта|Рецептов]: возвышенные штаны фанатика
Recipe[s]: Zealot's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния фанатика из паутинки
Recipe[s]: Zealot's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка фанатика
Recipe[s]: Zealot's Pearl Bludgeoner,[Рецепт|Рецепта|Рецептов]: жемчужная дубина фанатика
Recipe[s]: Zealot's Pearl Blunderbuss,[Рецепт|Рецепта|Рецептов]: жемчужный мушкетон фанатика
Recipe[s]: Zealot's Pearl Brazier,[Рецепт|Рецепта|Рецептов]: жемчужная жаровня фанатика
Recipe[s]: Zealot's Pearl Broadsword,[Рецепт|Рецепта|Рецептов]: жемчужный палаш фанатика
Recipe[s]: Zealot's Pearl Carver,[Рецепт|Рецепта|Рецептов]: жемчужный резак фанатика
Recipe[s]: Zealot's Pearl Conch,[Рецепт|Рецепта|Рецептов]: жемчужная раковина фанатика
Recipe[s]: Zealot's Pearl Crusher,[Рецепт|Рецепта|Рецептов]: жемчужный крушитель фанатика
Recipe[s]: Zealot's Pearl Handcannon,[Рецепт|Рецепта|Рецептов]: жемчужная ручная пушка фанатика
Recipe[s]: Zealot's Pearl Impaler,[Рецепт|Рецепта|Рецептов]: жемчужный пронзатель фанатика
Recipe[s]: Zealot's Pearl Needler,[Рецепт|Рецепта|Рецептов]: жемчужный игломёт фанатика
Recipe[s]: Zealot's Pearl Quarterstaff,[Рецепт|Рецепта|Рецептов]: жемчужный посох фанатика
Recipe[s]: Zealot's Pearl Reaver,[Рецепт|Рецепта|Рецептов]: жемчужный жнец фанатика
Recipe[s]: Zealot's Pearl Rod,[Рецепт|Рецепта|Рецептов]: жемчужный жезл фанатика
Recipe[s]: Zealot's Pearl Sabre,[Рецепт|Рецепта|Рецептов]: жемчужная сабля фанатика
Recipe[s]: Zealot's Pearl Shell,[Рецепт|Рецепта|Рецептов]: жемчужная ракушка фанатика
Recipe[s]: Zealot's Pearl Siren,[Рецепт|Рецепта|Рецептов]: жемчужная сирена фанатика
Recipe[s]: Zealot's Pearl Speargun,[Рецепт|Рецепта|Рецептов]: жемчужное копьеружьё фанатика
Recipe[s]: Zealot's Pearl Stinger,[Рецепт|Рецепта|Рецептов]: жемчужное жало фанатика
Recipe[s]: Zealot's Pearl Trident,[Рецепт|Рецепта|Рецептов]: жемчужный трезубец фанатика
Recipe[s]: Zehtuka's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Зетуки
Recipe[s]: Zehtuka's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Зетуки
Recipe[s]: Zehtuka's Blade,[Рецепт|Рецепта|Рецептов]: клинок Зетуки
Recipe[s]: Zehtuka's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Зетуки
Recipe[s]: Zehtuka's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Зетуки
Recipe[s]: Zehtuka's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Зетуки
Recipe[s]: Zehtuka's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Зетуки
Recipe[s]: Zehtuka's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Зетуки
Recipe[s]: Zehtuka's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Зетуки
Recipe[s]: Zehtuka's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Зетуки
Recipe[s]: Zehtuka's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Зетуки
Recipe[s]: Zehtuka's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Зетуки
Recipe[s]: Zehtuka's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Зетуки
Recipe[s]: Zehtuka's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Зетуки
Recipe[s]: Zehtuka's Guise,[Рецепт|Рецепта|Рецептов]: облик Зетуки
Recipe[s]: Zehtuka's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Зетуки
Recipe[s]: Zehtuka's Harrier's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка защитника Зетуки
Recipe[s]: Zehtuka's Harrier's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния защитника Зетуки
Recipe[s]: Zehtuka's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Зетуки
Recipe[s]: Zehtuka's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Зетуки
Recipe[s]: Zehtuka's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Зетуки
Recipe[s]: Zehtuka's Masque,[Рецепт|Рецепта|Рецептов]: маска Зетуки
Recipe[s]: Zehtuka's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Зетуки
Recipe[s]: Zehtuka's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Зетуки
Recipe[s]: Zehtuka's Razor,[Рецепт|Рецепта|Рецептов]: бритва Зетуки
Recipe[s]: Zehtuka's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Зетуки
Recipe[s]: Zehtuka's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Зетуки
Recipe[s]: Zehtuka's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Зетуки
Recipe[s]: Zehtuka's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Зетуки
Recipe[s]: Zehtuka's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Зетуки
Recipe[s]: Zehtuka's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Зетуки
Recipe[s]: Zehtuka's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Зетуки
Recipe[s]: Zehtuka's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Зетуки
Recipe[s]: Zehtuka's Visage,[Рецепт|Рецепта|Рецептов]: лик Зетуки
Recipe[s]: Zehtuka's Visor,[Рецепт|Рецепта|Рецептов]: забрало Зетуки
Recipe[s]: Zehtuka's Wand,[Рецепт|Рецепта|Рецептов]: жезл Зетуки
Recipe[s]: Zehtuka's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Зетуки
Recipe[s]: Zehtuka's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Зетуки
Recipe[s]: Zehtuka's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Зетуки
Recipe[s]: Zephyrite Display Stand,[Рецепт|Рецепта|Рецептов]: выставочная стойка зефиритов
Recipe[s]: Zephyrite Fish Jerky,[Рецепт|Рецепта|Рецептов]: вяленая рыба зефиритов
Recipe[s]: Zintl Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Зинтля
Recipe[s]: Zintl Bastion,[Рецепт|Рецепта|Рецептов]: бастион Зинтля
Recipe[s]: Zintl Blade,[Рецепт|Рецепта|Рецептов]: клинок Зинтля
Recipe[s]: Zintl Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Зинтля
Recipe[s]: Zintl Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Зинтля
Recipe[s]: Zintl Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Зинтля
