english,translate
Recipe[s]: Relic of the Holosmith,[Рецепт|Рецепта|Рецептов]: реликвия голосмита
Recipe[s]: Relic of the Lich,[Рецепт|Рецепта|Рецептов]: реликвия лича
Recipe[s]: Relic of the Mirage,[Рецепт|Рецепта|Рецептов]: реликвия миража
Recipe[s]: Relic of the Monk,[Рецепт|Рецепта|Рецептов]: реликвия монаха
Recipe[s]: Relic of the Necromancer,[Рецепт|Рецепта|Рецептов]: реликвия некроманта
Recipe[s]: Relic of the Nightmare,[Рецепт|Рецепта|Рецептов]: реликвия кошмара
Recipe[s]: Relic of the Ogre,[Рецепт|Рецепта|Рецептов]: реликвия огра
Recipe[s]: Relic of the Pack,[Рецепт|Рецепта|Рецептов]: реликвия стаи
Recipe[s]: Relic of the Privateer,[Рецепт|Рецепта|Рецептов]: реликвия капера
Recipe[s]: Relic of the Reaper,[Рецепт|Рецепта|Рецептов]: реликвия жнеца
Recipe[s]: Relic of the Sunless,[Рецепт|Рецепта|Рецептов]: реликвия бездонного
Recipe[s]: Relic of the Thief,[Рецепт|Рецепта|Рецептов]: реликвия вора
Recipe[s]: Relic of the Thorns,[Рецепт|Рецепта|Рецептов]: реликвия шипов
Recipe[s]: Relic of the Trooper,[Рецепт|Рецепта|Рецептов]: реликвия солдата
Recipe[s]: Relic of the Warrior,[Рецепт|Рецепта|Рецептов]: реликвия воина
Recipe[s]: Relic of the Weaver,[Рецепт|Рецепта|Рецептов]: реликвия ткача
Recipe[s]: Relic of the Zephyrite,[Рецепт|Рецепта|Рецептов]: реликвия зефирита
Recipe[s]: Relic of Vampirism,[Рецепт|Рецепта|Рецептов]: реликвия вампиризма
Recipe[s]: Rescue Protocol Recharge,[Рецепт|Рецепта|Рецептов]: перезарядка протокола спасения
Recipe[s]: Restored Boreal Axe,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный топор
Recipe[s]: Restored Boreal Dagger,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный кинжал
Recipe[s]: Restored Boreal Focus,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный фокус
Recipe[s]: Restored Boreal Greatsword,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный двуручный меч
Recipe[s]: Restored Boreal Hammer,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный молот
Recipe[s]: Restored Boreal Longbow,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный длинный лук
Recipe[s]: Restored Boreal Mace,[Рецепт|Рецепта|Рецептов]: восстановленная бореальная булава
Recipe[s]: Restored Boreal Pistol,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный пистолет
Recipe[s]: Restored Boreal Rifle,[Рецепт|Рецепта|Рецептов]: восстановленная бореальная винтовка
Recipe[s]: Restored Boreal Scepter,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный скипетр
Recipe[s]: Restored Boreal Shield,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный щит
Recipe[s]: Restored Boreal Short Bow,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный короткий лук
Recipe[s]: Restored Boreal Staff,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный посох
Recipe[s]: Restored Boreal Sword,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный меч
Recipe[s]: Restored Boreal Torch,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный факел
Recipe[s]: Restored Boreal Warhorn,[Рецепт|Рецепта|Рецептов]: восстановленный бореальный боевой рог
Recipe[s]: Resurrection Tablet,[Рецепт|Рецепта|Рецептов]: Табличка воскрешения
Recipe[s]: Rhedo's Revenge (Level 13),[Рецепт|Рецепта|Рецептов]: Месть Редо (Уровень 13)
Recipe[s]: Rhedo's Revenge (Level 8),[Рецепт|Рецепта|Рецептов]: Месть Рхедо (8 уровень)
Recipe[s]: Ritualist's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния ритуалиста из паутинки
Recipe[s]: Ritualist's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка ритуалиста
Recipe[s]: River of Souls Token,[Рецепт|Рецепта|Рецептов]: жетоны реки Душ
Recipe[s]: Roasted Cactus,[Рецепт|Рецепта|Рецептов]: жареный кактус
Recipe[s]: Royal Barber (Level 31),[Рецепт|Рецепта|Рецептов]: королевский парикмахер (31-го уровня)
Recipe[s]: Royal Barber (Level 55),[Рецепт|Рецепта|Рецептов]: королевский парикмахер (55-й уровень)
Recipe[s]: Ruka's Wanderer's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка странника Руки
Recipe[s]: Ruka's Wanderer's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния странника Руки
Recipe[s]: Rune of Divinity,[Рецепт|Рецепта|Рецептов]: Руна божественности
Recipe[s]: Rune of Fireworks,[Рецепт|Рецепта|Рецептов]: Руна фейерверков
Recipe[s]: Rune of Hoelbrak,[Рецепт|Рецепта|Рецептов]: руна Хёльбрака
Recipe[s]: Rune of Infiltration,[Рецепт|Рецепта|Рецептов]: Руна проникновения
Recipe[s]: Rune of Mercy,[Рецепт|Рецепта|Рецептов]: Руна Милосердия
Recipe[s]: Rune of Rage,[Рецепт|Рецепта|Рецептов]: Руна ярости
Recipe[s]: Rune of Rata Sum,[Рецепт|Рецепта|Рецептов]: Руна Рата Сума
Recipe[s]: Rune of Snowfall,[Рецепт|Рецепта|Рецептов]: Руна Снегопада
Recipe[s]: Rune of Strength,[Рецепт|Рецепта|Рецептов]: Руна Силы
Recipe[s]: Rune of the Afflicted,[Рецепт|Рецепта|Рецептов]: Руна Страждущих
Recipe[s]: Rune of the Citadel,[Рецепт|Рецепта|Рецептов]: Руна Цитадели
Recipe[s]: Rune of the Dolyak,[Рецепт|Рецепта|Рецептов]: Руна Дояка
Recipe[s]: Rune of the Eagle,[Рецепт|Рецепта|Рецептов]: Руна Орла
Recipe[s]: Rune of the Flock,[Рецепт|Рецепта|Рецептов]: Руна Стаи
Recipe[s]: Rune of the Grove,[Рецепт|Рецепта|Рецептов]: Руна Рощи
Recipe[s]: Rune of the Pack,[Рецепт|Рецепта|Рецептов]: Руна Своры
Recipe[s]: Rune of the Traveler,[Рецепт|Рецепта|Рецептов]: Руна Путешественника
Recipe[s]: Rune of Vampirism,[Рецепт|Рецепта|Рецептов]: Руна Вампиризма
Recipe[s]: Rune-Enchanted Ring,[Рецепт|Рецепта|Рецептов]: зачарованное руной кольцо
Recipe[s]: Runed Sphere Casing,[Рецепт|Рецепта|Рецептов]: рунная оболочка сферы
Recipe[s]: Sabetha Flamethrower Fragment,[Рецепт|Рецепта|Рецептов]: фрагмент огнемёта Сабеты
Recipe[s]: Sacred Xylem (Level 71),[Рецепт|Рецепта|Рецептов]: Священная ксилема (ур. 71)
Recipe[s]: Saffron Mussels,[Рецепт|Рецепта|Рецептов]: шафрановые мидии
Recipe[s]: Samarog's Door,[Рецепт|Рецепта|Рецептов]: дверь Самарога
Recipe[s]: Sandcastle,[Рецепт|Рецепта|Рецептов]: песочный замок
Recipe[s]: Saphir's Assassin Insignia,[Рецепт|Рецепта|Рецептов]: инсигния ассасина Сафира
Recipe[s]: Saphir's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Сафира
Recipe[s]: Saphir's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Сафира
Recipe[s]: Saphir's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Сафира
Recipe[s]: Saphir's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Сафира
Recipe[s]: Saphir's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Сафира
Recipe[s]: Saphir's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Сафира
Recipe[s]: Saphir's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Сафира
Recipe[s]: Saphir's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Сафира
Recipe[s]: Saphir's Guise,[Рецепт|Рецепта|Рецептов]: облик Сафира
Recipe[s]: Saphir's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Сафира
Recipe[s]: Saphir's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Сафира
Recipe[s]: Saphir's Masque,[Рецепт|Рецепта|Рецептов]: маска Сафира
Recipe[s]: Saphir's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Сафира
Recipe[s]: Saphir's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Сафира
Recipe[s]: Saphir's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Сафира
Recipe[s]: Saphir's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Сафира
Recipe[s]: Saphir's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Сафира
Recipe[s]: Saphir's Visage,[Рецепт|Рецепта|Рецептов]: лик Сафира
Recipe[s]: Saphir's Visor,[Рецепт|Рецепта|Рецептов]: забрало Сафира
Recipe[s]: Saphir's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Сафира
Recipe[s]: Saphir's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Сафира
Recipe[s]: Satchel of Celestial Emblazoned Armor,[Рецепт|Рецепта|Рецептов]: сумка небесной вышитой брони
Recipe[s]: Satchel of Celestial Exalted Armor,[Рецепт|Рецепта|Рецептов]: сумка небесной возвышенной брони
Recipe[s]: Satchel of Zealot's Emblazoned Armor,[Рецепт|Рецепта|Рецептов]: сумка вышитой брони фанатика
Recipe[s]: Satchel of Zealot's Exalted Armor,[Рецепт|Рецепта|Рецептов]: сумка возвышенной брони фанатика
Recipe[s]: Save the Queen,[Рецепт|Рецепта|Рецептов]: «Спасите королеву»
Recipe[s]: Scavenger Protocol: Cloth,[Рецепт|Рецепта|Рецептов]: «Протокол сбора: Ткань»
Recipe[s]: Scavenger Protocol: Leather,[Рецепт|Рецепта|Рецептов]: «Протокол сбора: Кожа»
Recipe[s]: Scavenger Protocol: Magic Trophies,[Рецепт|Рецепта|Рецептов]: «Протокол сбора: Магические трофеи»
Recipe[s]: Scavenger Protocol: Metal,[Рецепт|Рецепта|Рецептов]: «Протокол сбора: Металл»
Recipe[s]: Scavenger Protocol: Might Trophies,[Рецепт|Рецепта|Рецептов]: «Протокол сбора: Трофеи силы»
Recipe[s]: Scavenger Protocol: Wood,[Рецепт|Рецепта|Рецептов]: «Протокол сбора: Древесина»
Recipe[s]: Schooner,[Рецепт|Рецепта|Рецептов]: шхуна
Recipe[s]: Scorpiones,[Рецепт|Рецепта|Рецептов]: скорпионес
Recipe[s]: Scramasax (Level 20),[Рецепт|Рецепта|Рецептов]: скрамасакс (20-й уровень)
Recipe[s]: Sea Urchin Roe Sushi,[Рецепт|Рецепта|Рецептов]: суши с икрой морского ежа
Recipe[s]: Seeger's Union (Level 13),[Рецепт|Рецепта|Рецептов]: «Юнион Сигера» (13-й уровень)
Recipe[s]: Seeger's Union (Level 8),[Рецепт|Рецепта|Рецептов]: «Юнион Сигера» (8-й уровень)
Recipe[s]: Seer Painting,[Рецепт|Рецепта|Рецептов]: картина провидца
Recipe[s]: Sepulchre Greaves (Level 55),[Рецепт|Рецепта|Рецептов]: гробничные наголенники (55-й уровень)
Recipe[s]: Seraph Draconic Boots,[Рецепт|Рецепта|Рецептов]: драконьи сапоги Серафима
Recipe[s]: Seraph Draconic Coat,[Рецепт|Рецепта|Рецептов]: драконья куртка Серафима
Recipe[s]: Seraph Draconic Gauntlets,[Рецепт|Рецепта|Рецептов]: драконьи латные перчатки Серафима
Recipe[s]: Seraph Draconic Helm,[Рецепт|Рецепта|Рецептов]: драконий шлем Серафима
Recipe[s]: Seraph Draconic Legs,[Рецепт|Рецепта|Рецептов]: драконьи поножи Серафима
Recipe[s]: Seraph Draconic Pauldrons,[Рецепт|Рецепта|Рецептов]: драконьи наплечники Серафима
Recipe[s]: Seraph Emblazoned Boots,[Рецепт|Рецепта|Рецептов]: расписные сапоги Серафима
Recipe[s]: Seraph Emblazoned Coat,[Рецепт|Рецепта|Рецептов]: расписная куртка Серафима
Recipe[s]: Seraph Emblazoned Gloves,[Рецепт|Рецепта|Рецептов]: расписные перчатки Серафима
Recipe[s]: Seraph Emblazoned Helm,[Рецепт|Рецепта|Рецептов]: расписной шлем Серафима
Recipe[s]: Seraph Emblazoned Pants,[Рецепт|Рецепта|Рецептов]: расписные штаны Серафима
Recipe[s]: Seraph Emblazoned Shoulders,[Рецепт|Рецепта|Рецептов]: расписные наплечники Серафима
Recipe[s]: Seraph Exalted Boots,[Рецепт|Рецепта|Рецептов]: возвышенные сапоги Серафима
Recipe[s]: Seraph Exalted Coat,[Рецепт|Рецепта|Рецептов]: возвышенная куртка Серафима
Recipe[s]: Seraph Exalted Gloves,[Рецепт|Рецепта|Рецептов]: возвышенные перчатки Серафима
Recipe[s]: Seraph Exalted Mantle,[Рецепт|Рецепта|Рецептов]: возвышенная мантия Серафима
Recipe[s]: Seraph Exalted Masque,[Рецепт|Рецепта|Рецептов]: возвышенная маска Серафима
Recipe[s]: Seraph Exalted Pants,[Рецепт|Рецепта|Рецептов]: возвышенные штаны Серафима
Recipe[s]: Seraph Pearl Bludgeoner,[Рецепт|Рецепта|Рецептов]: жемчужная дубина Серафима
Recipe[s]: Seraph Pearl Blunderbuss,[Рецепт|Рецепта|Рецептов]: жемчужный мушкетон Серафима
Recipe[s]: Seraph Pearl Brazier,[Рецепт|Рецепта|Рецептов]: жемчужная жаровня Серафима
Recipe[s]: Seraph Pearl Broadsword,[Рецепт|Рецепта|Рецептов]: жемчужный палаш Серафима
Recipe[s]: Seraph Pearl Carver,[Рецепт|Рецепта|Рецептов]: жемчужный резак Серафима
Recipe[s]: Seraph Pearl Conch,[Рецепт|Рецепта|Рецептов]: жемчужная раковина Серафима
Recipe[s]: Seraph Pearl Crusher,[Рецепт|Рецепта|Рецептов]: жемчужный крушитель Серафима
Recipe[s]: Seraph Pearl Handcannon,[Рецепт|Рецепта|Рецептов]: жемчужная ручная пушка Серафима
Recipe[s]: Seraph Pearl Impaler,[Рецепт|Рецепта|Рецептов]: жемчужный пронзатель Серафима
Recipe[s]: Seraph Pearl Needler,[Рецепт|Рецепта|Рецептов]: жемчужный игломёт Серафима
Recipe[s]: Seraph Pearl Quarterstaff,[Рецепт|Рецепта|Рецептов]: жемчужный посох Серафима
Recipe[s]: Seraph Pearl Reaver,[Рецепт|Рецепта|Рецептов]: жемчужный жнец Серафима
Recipe[s]: Seraph Pearl Rod,[Рецепт|Рецепта|Рецептов]: жемчужный жезл Серафима
Recipe[s]: Seraph Pearl Sabre,[Рецепт|Рецепта|Рецептов]: жемчужная сабля Серафима
Recipe[s]: Seraph Pearl Shell,[Рецепт|Рецепта|Рецептов]: жемчужная ракушка Серафима
Recipe[s]: Seraph Pearl Siren,[Рецепт|Рецепта|Рецептов]: жемчужная сирена Серафима
Recipe[s]: Seraph Pearl Speargun,[Рецепт|Рецепта|Рецептов]: жемчужное копьеружьё Серафима
Recipe[s]: Seraph Pearl Stinger,[Рецепт|Рецепта|Рецептов]: жемчужное жало Серафима
Recipe[s]: Seraph Pearl Trident,[Рецепт|Рецепта|Рецептов]: жемчужный трезубец Серафима
Recipe[s]: Serpentite Orichalcum Amulet,[Рецепт|Рецепта|Рецептов]: серпентитовый орихалковый амулет
Recipe[s]: Serpentite Orichalcum Earring,[Рецепт|Рецепта|Рецептов]: серпентитовая орихалковая серьга
Recipe[s]: Serpentite Orichalcum Ring,[Рецепт|Рецепта|Рецептов]: серпентитовое орихалковое кольцо
Recipe[s]: Shadow Garb,[Рецепт|Рецепта|Рецептов]: Теневая одежда
Recipe[s]: Shadow Gloves,[Рецепт|Рецепта|Рецептов]: Теневые перчатки
Recipe[s]: Shadow Helm,[Рецепт|Рецепта|Рецептов]: Теневой шлем
Recipe[s]: Shadow Leggings,[Рецепт|Рецепта|Рецептов]: Теневые поножи
Recipe[s]: Shadow Mantle,[Рецепт|Рецепта|Рецептов]: Теневая накидка
Recipe[s]: Shadow of Grenth,[Рецепт|Рецепта|Рецептов]: Тень Грента
Recipe[s]: Shadow Serpent Axe,[Рецепт|Рецепта|Рецептов]: Теневой змеиный топор
Recipe[s]: Shadow Serpent Dagger,[Рецепт|Рецепта|Рецептов]: Теневой змеиный кинжал
Recipe[s]: Shadow Serpent Focus,[Рецепт|Рецепта|Рецептов]: Теневой змеиный фокус
Recipe[s]: Shadow Serpent Greatsword,[Рецепт|Рецепта|Рецептов]: Теневой змеиный двуручный меч
Recipe[s]: Shadow Serpent Hammer,[Рецепт|Рецепта|Рецептов]: Теневой змеиный молот
Recipe[s]: Shadow Serpent Longbow,[Рецепт|Рецепта|Рецептов]: Теневой змеиный длинный лук
Recipe[s]: Shadow Serpent Mace,[Рецепт|Рецепта|Рецептов]: Теневая змеиная булава
Recipe[s]: Shadow Serpent Pistol,[Рецепт|Рецепта|Рецептов]: Теневой змеиный пистолет
Recipe[s]: Shadow Serpent Rifle,[Рецепт|Рецепта|Рецептов]: Теневая змеиная винтовка
Recipe[s]: Shadow Serpent Scepter,[Рецепт|Рецепта|Рецептов]: Теневой змеиный скипетр
Recipe[s]: Shadow Serpent Shield,[Рецепт|Рецепта|Рецептов]: Теневой змеиный щит
Recipe[s]: Shadow Serpent Short Bow,[Рецепт|Рецепта|Рецептов]: Теневой змеиный короткий лук
Recipe[s]: Shadow Serpent Staff,[Рецепт|Рецепта|Рецептов]: Теневой змеиный посох
Recipe[s]: Shadow Serpent Sword,[Рецепт|Рецепта|Рецептов]: Теневой змеиный клинок
Recipe[s]: Shadow Serpent Torch,[Рецепт|Рецепта|Рецептов]: Теневой змеиный факел
Recipe[s]: Shadow Serpent Warhorn,[Рецепт|Рецепта|Рецептов]: Боевой рог теневого змея
Recipe[s]: Shadow Shoes,[Рецепт|Рецепта|Рецептов]: Теневые ботинки
Recipe[s]: Shark Statue,[Рецепт|Рецепта|Рецептов]: Статуя акулы
Recipe[s]: Sharkfin Soup,[Рецепт|Рецепта|Рецептов]: суп из акульего плавника
Recipe[s]: Sharpening Skull,[Рецепт|Рецепта|Рецептов]: Точильный череп
Recipe[s]: Sharpening Stone Station,[Рецепт|Рецепта|Рецептов]: точильная станция
Recipe[s]: Shatterer Crystal,[Рецепт|Рецепта|Рецептов]: кристалл разрушителя
Recipe[s]: Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук
Recipe[s]: Siege Turtle Rental Post,[Рецепт|Рецепта|Рецептов]: Пункт аренды осадной черепахи
Recipe[s]: Sigil of Accuracy,[Рецепт|Рецепта|Рецептов]: сигил точности
Recipe[s]: Sigil of Agony,[Рецепт|Рецепта|Рецептов]: сигил агонии
Recipe[s]: Sigil of Battle,[Рецепт|Рецепта|Рецептов]: сигил битвы
Recipe[s]: Sigil of Blood,[Рецепт|Рецепта|Рецептов]: сигил крови
Recipe[s]: Sigil of Bloodlust,[Рецепт|Рецепта|Рецептов]: сигил кровожадности
Recipe[s]: Sigil of Chilling,[Рецепт|Рецепта|Рецептов]: сигил холода
Recipe[s]: Sigil of Corruption,[Рецепт|Рецепта|Рецептов]: сигил порчи
Recipe[s]: Sigil of Debility,[Рецепт|Рецепта|Рецептов]: сигил слабости
Recipe[s]: Sigil of Demons,[Рецепт|Рецепта|Рецептов]: сигил демонов
Recipe[s]: Sigil of Energy,[Рецепт|Рецепта|Рецептов]: сигил энергии
Recipe[s]: Sigil of Force,[Рецепт|Рецепта|Рецептов]: сигил силы
Recipe[s]: Sigil of Geomancy,[Рецепт|Рецепта|Рецептов]: сигил геомантии
Recipe[s]: Sigil of Hobbling,[Рецепт|Рецепта|Рецептов]: сигил хромоты
Recipe[s]: Sigil of Hydromancy,[Рецепт|Рецепта|Рецептов]: сигил гидромантии
Recipe[s]: Sigil of Intelligence,[Рецепт|Рецепта|Рецептов]: сигил интеллекта
Recipe[s]: Sigil of Leeching,[Рецепт|Рецепта|Рецептов]: сигил вампиризма
Recipe[s]: Sigil of Life,[Рецепт|Рецепта|Рецептов]: сигил жизни
Recipe[s]: Sigil of Mischief,[Рецепт|Рецепта|Рецептов]: сигил проказ
Recipe[s]: Sigil of Nullification,[Рецепт|Рецепта|Рецептов]: сигил аннулирования
Recipe[s]: Sigil of Perception,[Рецепт|Рецепта|Рецептов]: сигил восприятия
Recipe[s]: Sigil of Peril,[Рецепт|Рецепта|Рецептов]: сигил опасности
Recipe[s]: Sigil of Purity,[Рецепт|Рецепта|Рецептов]: сигил чистоты
Recipe[s]: Sigil of Rage,[Рецепт|Рецепта|Рецептов]: сигил ярости
Recipe[s]: Sigil of Restoration,[Рецепт|Рецепта|Рецептов]: сигил восстановления
Recipe[s]: Sigil of Smoldering,[Рецепт|Рецепта|Рецептов]: сигил тления
Recipe[s]: Sigil of Stamina,[Рецепт|Рецепта|Рецептов]: сигил выносливости
Recipe[s]: Sigil of Venom,[Рецепт|Рецепта|Рецептов]: сигил яда
Recipe[s]: Silver Cairn the Indomitable Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Неукротимого Кайрна
Recipe[s]: Silver Cardinal Adina Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей кардинала Адины
Recipe[s]: Silver Cardinal Sabir Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей кардинала Сабира
Recipe[s]: Silver Chak Gerent Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей чак-герента
Recipe[s]: Silver Conjured Amalgamate Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей призванного амальгамата
Recipe[s]: Silver Decima Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Децимы
Recipe[s]: Silver Deimos Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Деймоса
Recipe[s]: Silver Desmina Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Десмины
