english,translate
Recipe[s]: Lunatic Noble Coat,[Рецепт|Рецепта|Рецептов]: куртка безумного дворянина
Recipe[s]: Lunatic Noble Gloves,[Рецепт|Рецепта|Рецептов]: перчатки безумного дворянина
Recipe[s]: Lunatic Noble Mask,[Рецепт|Рецепта|Рецептов]: маска безумного дворянина
Recipe[s]: Lunatic Noble Pants,[Рецепт|Рецепта|Рецептов]: штаны безумного дворянина
Recipe[s]: Lunatic Noble Shoulders,[Рецепт|Рецепта|Рецептов]: наплечники безумного дворянина
Recipe[s]: Lunatic Templar Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник безумного тамплиера
Recipe[s]: Lunatic Templar Gauntlets,[Рецепт|Рецепта|Рецептов]: перчатки безумного тамплиера
Recipe[s]: Lunatic Templar Greaves,[Рецепт|Рецепта|Рецептов]: наголенники безумного тамплиера
Recipe[s]: Lunatic Templar Helm,[Рецепт|Рецепта|Рецептов]: шлем безумного тамплиера
Recipe[s]: Lunatic Templar Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники безумного тамплиера
Recipe[s]: Lunatic Templar Tassets,[Рецепт|Рецепта|Рецептов]: набедренники безумного тамплиера
Recipe[s]: Lye,[Рецепт|Рецепта|Рецептов]: щёлок
Recipe[s]: Mace,[Рецепт|Рецепта|Рецептов]: булава
Recipe[s]: Maddening Tower,[Рецепт|Рецепта|Рецептов]: безумная башня
Recipe[s]: Magnanimous Maintenance Oil,[Рецепт|Рецепта|Рецептов]: великодушное смазочное масло
Recipe[s]: Magnanimous Maintenance Oil Station,[Рецепт|Рецепта|Рецептов]: пост великодушного смазочного масла
Recipe[s]: Magnanimous Sharpening Stone,[Рецепт|Рецепта|Рецептов]: великодушный точильный камень
Recipe[s]: Magnanimous Tuning Crystal,[Рецепт|Рецепта|Рецептов]: великодушный кристалл настройки
Recipe[s]: Magnanimous Tuning Crystal Station,[Рецепт|Рецепта|Рецептов]: Станция щедрой настройки кристаллов
Recipe[s]: Mail of Mac Quen (Level 71),[Рецепт|Рецепта|Рецептов]: кольчуга Мака Куэна (71 уровень)
Recipe[s]: Maintenance Oil Station,[Рецепт|Рецепта|Рецептов]: Станция заправки маслом
Recipe[s]: Maize Balm,[Рецепт|Рецепта|Рецептов]: маисовый бальзам
Recipe[s]: Majestic Hand (Level 31),[Рецепт|Рецепта|Рецептов]: величественная перчатка (31 уровень)
Recipe[s]: Majestic Hand (Level 55),[Рецепт|Рецепта|Рецептов]: величественная перчатка (55-го уровня)
Recipe[s]: Major Rune of Exuberance,[Рецепт|Рецепта|Рецептов]: Большая руна воодушевлённости
Recipe[s]: Major Rune of Perplexity,[Рецепт|Рецепта|Рецептов]: Большая руна растерянности
Recipe[s]: Major Rune of the Mad King,[Рецепт|Рецепта|Рецептов]: Большая руна Безумного короля
Recipe[s]: Major Rune of Tormenting,[Рецепт|Рецепта|Рецептов]: Большая руна мучения
Recipe[s]: Major Sigil of Bursting,[Рецепт|Рецепта|Рецептов]: Большой сигил взрыва
Recipe[s]: Major Sigil of Malice,[Рецепт|Рецепта|Рецептов]: Большой сигил злобы
Recipe[s]: Major Sigil of Renewal,[Рецепт|Рецепта|Рецептов]: Большой сигил обновления
Recipe[s]: Major Sigil of the Night,[Рецепт|Рецепта|Рецептов]: Большой сигил ночи
Recipe[s]: Maklain's Minstrel's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка менестреля Маклейна
Recipe[s]: Maklain's Minstrel's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния менестреля Маклейна
Recipe[s]: Malumres,[Рецепт|Рецепта|Рецептов]: «Малумрес»
Recipe[s]: Man o' War,[Рецепт|Рецепта|Рецептов]: «Мэн-о-вар»
Recipe[s]: Manbiter (Level 71),[Рецепт|Рецепта|Рецептов]: «Человекокусатель» (ур. 71)
Recipe[s]: Mantodea,[Рецепт|Рецепта|Рецептов]: «Мантодея»
Recipe[s]: Many-Buckled Swash (Level 71),[Рецепт|Рецепта|Рецептов]: «Многопряжечный хлыст» (ур. 71)
Recipe[s]: Marauder Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния мародёра из паутинки
Recipe[s]: Marauder Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка мародёра
Recipe[s]: Marjory's Experimental Chili,[Рецепт|Рецепта|Рецептов]: «Экспериментальное чили Марджори»
Recipe[s]: Mark of the Unnamed,[Рецепт|Рецепта|Рецептов]: «Метка Безымянного»
Recipe[s]: Mashed Purple Potatoes,[Рецепт|Рецепта|Рецептов]: «Пюре из фиолетового картофеля»
"Recipe[s]: Mask of 1,000 Faces (Level 55)",[Рецепт|Рецепта|Рецептов]: «Маска тысячи лиц» (ур. 55)
Recipe[s]: Massey's Gauntlet (Level 71),[Рецепт|Рецепта|Рецептов]: «Перчатка Мэсси» (ур. 71)
Recipe[s]: Masterwork Rift Motivation,[Рецепт|Рецепта|Рецептов]: «Мотивация разлома мастерской работы»
Recipe[s]: Match Grade Standard Rifle,[Рецепт|Рецепта|Рецептов]: «Стандартная винтовка соревновательного класса»
Recipe[s]: Mathilde's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Матильды
Recipe[s]: Mathilde's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Матильды
Recipe[s]: Mathilde's Blade,[Рецепт|Рецепта|Рецептов]: клинок Матильды
Recipe[s]: Mathilde's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Матильды
Recipe[s]: Mathilde's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Матильды
Recipe[s]: Mathilde's Dire Inscription,[Рецепт|Рецепта|Рецептов]: гравировка грозного Матильды
Recipe[s]: Mathilde's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Матильды
Recipe[s]: Mathilde's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Матильды
Recipe[s]: Mathilde's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Матильды
Recipe[s]: Mathilde's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Матильды
Recipe[s]: Mathilde's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Матильды
Recipe[s]: Mathilde's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Матильды
Recipe[s]: Mathilde's Razor,[Рецепт|Рецепта|Рецептов]: бритва Матильды
Recipe[s]: Mathilde's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Матильды
Recipe[s]: Mathilde's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Матильды
Recipe[s]: Mathilde's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Матильды
Recipe[s]: Mathilde's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Матильды
Recipe[s]: Mathilde's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Матильды
Recipe[s]: Mathilde's Wand,[Рецепт|Рецепта|Рецептов]: жезл Матильды
Recipe[s]: Mathilde's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Матильды
Recipe[s]: Meat Carver,[Рецепт|Рецепта|Рецептов]: мясной резец
Recipe[s]: Meaty Asparagus Skewer,[Рецепт|Рецепта|Рецептов]: мясной шашлык из спаржи
Recipe[s]: Meaty Rice Bowl,[Рецепт|Рецепта|Рецептов]: мясная миска с рисом
Recipe[s]: Melitta's Bloom (Level 71),[Рецепт|Рецепта|Рецептов]: Цветок Мелитты (ур. 71)
Recipe[s]: Meteorite Ingot,[Рецепт|Рецепта|Рецептов]: метеоритный слиток
Recipe[s]: Might of Arah,[Рецепт|Рецепта|Рецептов]: мощь Араха
Recipe[s]: Minor Rune of Exuberance,[Рецепт|Рецепта|Рецептов]: Малая руна ликования
Recipe[s]: Minor Rune of Perplexity,[Рецепт|Рецепта|Рецептов]: Малая руна замешательства
Recipe[s]: Minor Rune of Tormenting,[Рецепт|Рецепта|Рецептов]: Малая руна мучения
Recipe[s]: Minor Sigil of Bursting,[Рецепт|Рецепта|Рецептов]: Малый сигил разрыва
Recipe[s]: Minor Sigil of Malice,[Рецепт|Рецепта|Рецептов]: Малый сигил злобы
Recipe[s]: Minor Sigil of Renewal,[Рецепт|Рецепта|Рецептов]: Малый сигил обновления
Recipe[s]: Minotaur Steak,[Рецепт|Рецепта|Рецептов]: стейк из минотавра
Recipe[s]: Minstrel's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния менестреля из паутинки
Recipe[s]: Minstrel's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка менестреля
Recipe[s]: Mintberry Swirl Ice Cream,[Рецепт|Рецепта|Рецептов]: мятно-ягодное мороженое
Recipe[s]: Mistbreaker,[Рецепт|Рецепта|Рецептов]: туманолом
Recipe[s]: Mistcleaver,[Рецепт|Рецепта|Рецептов]: туманокол
Recipe[s]: Mistrender,[Рецепт|Рецепта|Рецептов]: туманодран
Recipe[s]: Miucha's Mantle (Level 71),[Рецепт|Рецепта|Рецептов]: мантия Миучи (ур. 71)
Recipe[s]: Mizin,[Рецепт|Рецепта|Рецептов]: мизин
Recipe[s]: Moa Carver (Level 13),[Рецепт|Рецепта|Рецептов]: резчик моа (ур. 13)
Recipe[s]: Moa Carver (Level 8),[Рецепт|Рецепта|Рецептов]: резчик моа (ур. 8)
Recipe[s]: Moogooloo Harpoon,[Рецепт|Рецепта|Рецептов]: гарпун Мугулу
Recipe[s]: Moogooloo Speargun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Мугулу
Recipe[s]: Moogooloo Trident,[Рецепт|Рецепта|Рецептов]: трезубец Могулу
Recipe[s]: Morbach's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Морбаха
Recipe[s]: Morbach's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Морбаха
Recipe[s]: Morbach's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Морбаха
Recipe[s]: Morbach's Dire Insignia,[Рецепт|Рецепта|Рецептов]: инсигния грозного Морбаха
Recipe[s]: Morbach's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Морбаха
Recipe[s]: Morbach's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Морбаха
Recipe[s]: Morbach's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Морбаха
Recipe[s]: Morbach's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Морбаха
Recipe[s]: Morbach's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Морбаха
Recipe[s]: Morbach's Guise,[Рецепт|Рецепта|Рецептов]: облик Морбаха
Recipe[s]: Morbach's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Морбаха
Recipe[s]: Morbach's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Морбаха
Recipe[s]: Morbach's Masque,[Рецепт|Рецепта|Рецептов]: маска Морбаха
Recipe[s]: Morbach's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Морбаха
Recipe[s]: Morbach's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Морбаха
Recipe[s]: Morbach's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Морбаха
Recipe[s]: Morbach's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Морбаха
Recipe[s]: Morbach's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Морбаха
Recipe[s]: Morbach's Visage,[Рецепт|Рецепта|Рецептов]: лик Морбаха
Recipe[s]: Morbach's Visor,[Рецепт|Рецепта|Рецептов]: забрало Морбаха
Recipe[s]: Morbach's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Морбаха
Recipe[s]: Morbach's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Морбаха
Recipe[s]: Mordant Bonespitter,[Рецепт|Рецепта|Рецептов]: костеплюй Морданта
Recipe[s]: Mordant Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Морданта
Recipe[s]: Mordant Cesta,[Рецепт|Рецепта|Рецептов]: цеста Морданта
Recipe[s]: Mordant Crosier,[Рецепт|Рецепта|Рецептов]: посох Морданта
Recipe[s]: Mordant Crusher,[Рецепт|Рецепта|Рецептов]: дробитель Морданта
Recipe[s]: Mordant Edge,[Рецепт|Рецепта|Рецептов]: лезвие Морданта
Recipe[s]: Mordant Infantry Bow,[Рецепт|Рецепта|Рецептов]: пехотный лук Морданта
Recipe[s]: Mordant Inscription,[Рецепт|Рецепта|Рецептов]: гравировка Морданта
Recipe[s]: Mordant Key,[Рецепт|Рецепта|Рецептов]: Ключ Морданта
Recipe[s]: Mordant Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук Морданта
Recipe[s]: Mordant Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Морданта
Recipe[s]: Mordant Scutum,[Рецепт|Рецепта|Рецептов]: скутум Морданта
Recipe[s]: Mordant Sickle,[Рецепт|Рецепта|Рецептов]: серп Морданта
Recipe[s]: Mordant Slayer,[Рецепт|Рецепта|Рецептов]: Убийца Морданта
Recipe[s]: Mordant Slicer,[Рецепт|Рецепта|Рецептов]: Резак Морданта
Recipe[s]: Mordant Trumpet,[Рецепт|Рецепта|Рецептов]: труба Морданта
Recipe[s]: Mordant Warclub,[Рецепт|Рецепта|Рецептов]: Боевая дубина Морданта
Recipe[s]: Mordremoth Mandible,[Рецепт|Рецепта|Рецептов]: мандибула Мордремота
Recipe[s]: Mordy Plush,[Рецепт|Рецепта|Рецептов]: плюшевый Морди
Recipe[s]: Mournstone,[Рецепт|Рецепта|Рецептов]: Камень скорби
Recipe[s]: Mournstone Amulet,[Рецепт|Рецепта|Рецептов]: амулет из камня скорби
Recipe[s]: Mournstone Earring,[Рецепт|Рецепта|Рецептов]: серьга из камня скорби
Recipe[s]: Mournstone Ring,[Рецепт|Рецепта|Рецептов]: Кольцо «Скорбный камень»
Recipe[s]: Mummy Tonic,[Рецепт|Рецепта|Рецептов]: тоник мумии
Recipe[s]: Mushroom Loaf,[Рецепт|Рецепта|Рецептов]: Грибной хлеб
Recipe[s]: Mushroom Soup,[Рецепт|Рецепта|Рецептов]: Грибной суп
Recipe[s]: Mushrooms Yakkington,[Рецепт|Рецепта|Рецептов]: грибы Яккингтона
Recipe[s]: Mystic Aspect,[Рецепт|Рецепта|Рецептов]: Мистический аспект
Recipe[s]: Mystic Mote,[Рецепт|Рецепта|Рецептов]: Мистическая частица
Recipe[s]: Mythwright Gambit Pillar,[Рецепт|Рецепта|Рецептов]: Столп гамбита мифотворца
Recipe[s]: Nadijeh's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Надижи
Recipe[s]: Nadijeh's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Надижи
Recipe[s]: Nadijeh's Blade,[Рецепт|Рецепта|Рецептов]: клинок Надижи
Recipe[s]: Nadijeh's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Надижи
Recipe[s]: Nadijeh's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Надижи
Recipe[s]: Nadijeh's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Надижи
Recipe[s]: Nadijeh's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Надижи
Recipe[s]: Nadijeh's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Надижи
Recipe[s]: Nadijeh's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Надижи
Recipe[s]: Nadijeh's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Надижи
Recipe[s]: Nadijeh's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Надижи
Recipe[s]: Nadijeh's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Надижи
Recipe[s]: Nadijeh's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Надижи
Recipe[s]: Nadijeh's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Надижи
Recipe[s]: Nadijeh's Guise,[Рецепт|Рецепта|Рецептов]: облик Надижи
Recipe[s]: Nadijeh's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Надижи
Recipe[s]: Nadijeh's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Надижи
Recipe[s]: Nadijeh's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Надижи
Recipe[s]: Nadijeh's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Надижи
Recipe[s]: Nadijeh's Marshal's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка маршала Надижи
Recipe[s]: Nadijeh's Marshal's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния маршала Надижи
Recipe[s]: Nadijeh's Masque,[Рецепт|Рецепта|Рецептов]: маска Надижи
Recipe[s]: Nadijeh's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Надижи
Recipe[s]: Nadijeh's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Надижи
Recipe[s]: Nadijeh's Razor,[Рецепт|Рецепта|Рецептов]: бритва Надижи
Recipe[s]: Nadijeh's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Надижи
Recipe[s]: Nadijeh's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Надижи
Recipe[s]: Nadijeh's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Надижи
Recipe[s]: Nadijeh's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Надижи
Recipe[s]: Nadijeh's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Надижи
Recipe[s]: Nadijeh's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Надижи
Recipe[s]: Nadijeh's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Надижи
Recipe[s]: Nadijeh's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Надижи
Recipe[s]: Nadijeh's Visage,[Рецепт|Рецепта|Рецептов]: лик Надижи
Recipe[s]: Nadijeh's Visor,[Рецепт|Рецепта|Рецептов]: забрало Надижи
Recipe[s]: Nadijeh's Wand,[Рецепт|Рецепта|Рецептов]: жезл Надижи
Recipe[s]: Nadijeh's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Надижи
Recipe[s]: Nadijeh's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Надижи
Recipe[s]: Nadijeh's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Надижи
Recipe[s]: Neophyte's Beacon,[Рецепт|Рецепта|Рецептов]: Маяк Неофита
Recipe[s]: Nerashi's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Нераши
Recipe[s]: Nerashi's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Нераши
Recipe[s]: Nerashi's Blade,[Рецепт|Рецепта|Рецептов]: клинок Нераши
Recipe[s]: Nerashi's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Нераши
Recipe[s]: Nerashi's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Нераши
Recipe[s]: Nerashi's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Нераши
Recipe[s]: Nerashi's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Нераши
Recipe[s]: Nerashi's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Нераши
Recipe[s]: Nerashi's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Нераши
Recipe[s]: Nerashi's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Нераши
Recipe[s]: Nerashi's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Нераши
Recipe[s]: Nerashi's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Нераши
Recipe[s]: Nerashi's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Нераши
Recipe[s]: Nerashi's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Нераши
Recipe[s]: Nerashi's Guise,[Рецепт|Рецепта|Рецептов]: облик Нераши
Recipe[s]: Nerashi's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Нераши
Recipe[s]: Nerashi's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Нераши
Recipe[s]: Nerashi's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Нераши
Recipe[s]: Nerashi's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка Нераши
Recipe[s]: Nerashi's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния Нераши
Recipe[s]: Nerashi's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Нераши
Recipe[s]: Nerashi's Masque,[Рецепт|Рецепта|Рецептов]: маска Нераши
Recipe[s]: Nerashi's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Нераши
Recipe[s]: Nerashi's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Нераши
Recipe[s]: Nerashi's Razor,[Рецепт|Рецепта|Рецептов]: бритва Нераши
Recipe[s]: Nerashi's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Нераши
Recipe[s]: Nerashi's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Нераши
Recipe[s]: Nerashi's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Нераши
Recipe[s]: Nerashi's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Нераши
Recipe[s]: Nerashi's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Нераши
Recipe[s]: Nerashi's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Нераши
Recipe[s]: Nerashi's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Нераши
Recipe[s]: Nerashi's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Нераши
Recipe[s]: Nerashi's Visage,[Рецепт|Рецепта|Рецептов]: лик Нераши
Recipe[s]: Nerashi's Visor,[Рецепт|Рецепта|Рецептов]: забрало Нераши
Recipe[s]: Nerashi's Wand,[Рецепт|Рецепта|Рецептов]: жезл Нераши
Recipe[s]: Nerashi's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Нераши
Recipe[s]: Nerashi's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Нераши
Recipe[s]: Nerashi's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Нераши
Recipe[s]: Nesting Materials,[Рецепт|Рецепта|Рецептов]: материалы для Гнездования
Recipe[s]: New Year Rice Cake,[Рецепт|Рецепта|Рецептов]: новогодний рисовый пирог
Recipe[s]: Nomad's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния кочевника из паутинки
Recipe[s]: Nomad's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка кочевника
Recipe[s]: Nopalitos Sauté,[Рецепт|Рецепта|Рецептов]: nopalitos Sauté
Recipe[s]: Obedience (Level 31),[Рецепт|Рецепта|Рецептов]: послушание (уровень 31)
Recipe[s]: Obedience (Level 55),[Рецепт|Рецепта|Рецептов]: послушание (уровень 55)
Recipe[s]: Obelisk,[Рецепт|Рецепта|Рецептов]: обелиск
Recipe[s]: Obfuscation Ward (Level 55),[Рецепт|Рецепта|Рецептов]: обфускационный амулет (55-го уровня)
Recipe[s]: Occam's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Оккама
Recipe[s]: Occam's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Оккама
Recipe[s]: Occam's Blade,[Рецепт|Рецепта|Рецептов]: клинок Оккама
Recipe[s]: Occam's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Оккама
Recipe[s]: Occam's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Оккама
Recipe[s]: Occam's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Оккама
Recipe[s]: Occam's Carrion Inscription,[Рецепт|Рецепта|Рецептов]: гравировка падальщика Оккама
Recipe[s]: Occam's Carrion Insignia,[Рецепт|Рецепта|Рецептов]: инсигния падальщика Оккама
Recipe[s]: Occam's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Оккама
Recipe[s]: Occam's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Оккама
Recipe[s]: Occam's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Оккама
Recipe[s]: Occam's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Оккама
Recipe[s]: Occam's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Оккама
Recipe[s]: Occam's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Оккама
Recipe[s]: Occam's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Оккама
Recipe[s]: Occam's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Оккама
Recipe[s]: Occam's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Оккама
Recipe[s]: Occam's Guise,[Рецепт|Рецепта|Рецептов]: облик Оккама
Recipe[s]: Occam's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Оккама
Recipe[s]: Occam's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Оккама
Recipe[s]: Occam's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Оккама
Recipe[s]: Occam's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Оккама
Recipe[s]: Occam's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Оккама
Recipe[s]: Occam's Masque,[Рецепт|Рецепта|Рецептов]: маска Оккама
Recipe[s]: Occam's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Оккама
Recipe[s]: Occam's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Оккама
Recipe[s]: Occam's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Оккама
